readfile	mapping_type	read_length	count
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	<21	584795
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	21	168782
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	22	207732
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	23	173219
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	24	168299
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	>24	2459012
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	<21	401016
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	21	136673
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	22	107078
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	23	75867
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	24	87841
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	>24	1641909
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	R	<21	428837
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	R	21	144994
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/E-Peve/output/08.2-Peve-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	R	22	487968
