"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","prop.sig.genes"
"1","Pocillopora_meandrina_HIv1___RNAseq.g11357.t1","GO:0006313","DNA transposition",144,6,0.27,2.3e-07,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000016",2060004,2091011,"Pocillopora_meandrina_HIv1___Sc0000016","transcript",2077748,2083900,"ID=Pocillopora_meandrina_HIv1___RNAseq.g11357.t1",6153,0.0416666666666667
"2","Pocillopora_meandrina_HIv1___RNAseq.g27993.t1","GO:0031929","TOR signaling",119,2,0.22,0.01802,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000006",12435230,12463480,"Pocillopora_meandrina_HIv1___Sc0000006","transcript",12458123,12468359,"ID=Pocillopora_meandrina_HIv1___RNAseq.g27993.t1",5358,0.0168067226890756
"3","Pocillopora_meandrina_HIv1___RNAseq.g27993.t1","GO:0150032","positive regulation of protein localization to lyso...",3,1,0.01,0.00559,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000006",12435230,12463480,"Pocillopora_meandrina_HIv1___Sc0000006","transcript",12458123,12468359,"ID=Pocillopora_meandrina_HIv1___RNAseq.g27993.t1",5358,0.333333333333333
"4","Pocillopora_meandrina_HIv1___RNAseq.g16335.t1a","GO:0006313","DNA transposition",144,6,0.27,2.3e-07,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",15451019,15455992,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",15454364,15455513,"ID=Pocillopora_meandrina_HIv1___RNAseq.g16335.t1a",1150,0.0416666666666667
"5","Pocillopora_meandrina_HIv1___RNAseq.g19581.t1","GO:0015074","DNA integration",541,15,1.01,6.5e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000001",10531132,10536982,"Pocillopora_meandrina_HIv1___Sc0000001","transcript",10535065,10536702,"ID=Pocillopora_meandrina_HIv1___RNAseq.g19581.t1",1638,0.0277264325323475
"6","Pocillopora_meandrina_HIv1___RNAseq.g25079.t1","GO:0015074","DNA integration",541,15,1.01,6.5e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000004",13615030,13624862,"Pocillopora_meandrina_HIv1___Sc0000004","transcript",13615770,13616777,"ID=Pocillopora_meandrina_HIv1___RNAseq.g25079.t1",1008,0.0277264325323475
"7","Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0006310","DNA recombination",624,10,1.16,0.00536,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,"ID=Pocillopora_meandrina_HIv1___RNAseq.g16075.t1",3921,0.016025641025641
"8","Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0006508","proteolysis",1928,8,3.6,0.02187,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,"ID=Pocillopora_meandrina_HIv1___RNAseq.g16075.t1",3921,0.004149377593361
"9","Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0015074","DNA integration",541,15,1.01,6.5e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,"ID=Pocillopora_meandrina_HIv1___RNAseq.g16075.t1",3921,0.0277264325323475
"10","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0006313","DNA transposition",144,6,0.27,2.3e-07,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,"ID=Pocillopora_meandrina_HIv1___TS.g18528.t1",5659,0.0416666666666667
"11","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0006508","proteolysis",1928,8,3.6,0.02187,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,"ID=Pocillopora_meandrina_HIv1___TS.g18528.t1",5659,0.004149377593361
"12","Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0015074","DNA integration",541,15,1.01,6.5e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,"ID=Pocillopora_meandrina_HIv1___TS.g18528.t1",5659,0.0277264325323475
"13","Pocillopora_meandrina_HIv1___TS.g24875.t1a","GO:0015074","DNA integration",541,15,1.01,6.5e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000007",13093921,13099854,"Pocillopora_meandrina_HIv1___Sc0000007","transcript",13095063,13097222,"ID=Pocillopora_meandrina_HIv1___TS.g24875.t1a",2160,0.0277264325323475
"14","Pocillopora_meandrina_HIv1___RNAseq.g18203.t1","GO:0006355","regulation of DNA-templated transcription",1900,7,3.55,0.02569,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000019",3826011,3853992,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",3848485,3852030,"ID=Pocillopora_meandrina_HIv1___RNAseq.g18203.t1",3546,0.00368421052631579
