readfile	mapping_type	read_length	count
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	U	<21	277334
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	U	21	114752
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	U	22	331234
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	U	23	133358
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	U	24	46856
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	U	>24	1373470
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	P	<21	467850
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	P	21	107319
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	P	22	117041
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	P	23	93279
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	P	24	67962
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	P	>24	4174478
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	R	<21	275235
/home/shared/8TB_HDD_02/shedurkin/deep-dive/F-Pmea/output/13-Pmea-sRNAseq-ShortStack/ShortStack_out/sRNA-POC-47-S1-TP2.flexbar_trim.25bp_1.bam	R	21	98072
