Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-145-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-150-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-173-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-178-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
NC_058066.1:152483-152906	Cluster_1	N	2	135	0	4	1
NC_058066.1:161064-161674	Cluster_2	N	51	50	199	27	173
NC_058066.1:203241-203651	Cluster_3	N	18	27	9	18	37
NC_058066.1:204533-205150	Cluster_4	N	1	232	20	9	54
NC_058066.1:205739-206966	Cluster_5	N	1036	412	80	208	270
NC_058066.1:210855-211344	Cluster_6	N	288	190	80	0	649
NC_058066.1:349655-351297	Cluster_7	N	497	1192	840	814	27
NC_058066.1:351491-353439	Cluster_8	N	3234	2040	1538	2083	204
NC_058066.1:368012-368427	Cluster_9	N	0	0	125	0	84
NC_058066.1:598651-599069	Cluster_10	N	46	421	87	189	114
NC_058066.1:681247-681662	Cluster_11	N	0	0	0	4	169
NC_058066.1:776275-776779	Cluster_12	N	0	285	8	51	190
NC_058066.1:1120025-1120456	Cluster_13	N	0	3	0	6	329
NC_058066.1:1153376-1153803	Cluster_14	N	165	95	75	0	54
NC_058066.1:1154204-1154632	Cluster_15	N	230	30	112	0	78
NC_058066.1:1176401-1176821	Cluster_16	N	15	15	21	6	81
NC_058066.1:1208776-1209194	Cluster_17	N	0	3	26	116	0
NC_058066.1:1372702-1373125	Cluster_18	N	20	37	31	23	28
NC_058066.1:1423468-1423906	Cluster_19	N	11	30	194	103	1
NC_058066.1:1424553-1424984	Cluster_20	N	1	40	514	54	0
NC_058066.1:1426743-1427170	Cluster_21	N	128	3	4	0	129
NC_058066.1:1428122-1428836	Cluster_22	N	117	190	154	15	72
NC_058066.1:1478217-1478631	Cluster_23	N	3	46	39	7	0
NC_058066.1:1502916-1503333	Cluster_24	N	10	28	53	19	20
NC_058066.1:1603116-1603545	Cluster_25	N	13	63	23	370	35
NC_058066.1:1807252-1807681	Cluster_26	N	16	86	588	4	3
NC_058066.1:1811750-1812178	Cluster_27	N	27	129	26	37	29
NC_058066.1:2003870-2004431	Cluster_28	N	6	75	2	0	453
NC_058066.1:2092167-2092596	Cluster_29	N	5	148	0	0	0
NC_058066.1:2320927-2321370	Cluster_30	N	106	3477	114	960	83
NC_058066.1:2402544-2402974	Cluster_31	N	18	0	133	3	8
