qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Cluster_316.mature::NC_058066.1:12757146-12757168(-)	Cluster_316.mature::NC_058066.1:12757146-12757168(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_514.mature::NC_058066.1:20088678-20088700(+)	Cluster_514.mature::NC_058066.1:20088678-20088700(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_548.mature::NC_058066.1:20346248-20346271(-)	Cluster_548.mature::NC_058066.1:20346248-20346271(-)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_1506.mature::NC_058067.1:5656213-5656236(-)	Cluster_1506.mature::NC_058067.1:5656213-5656236(-)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_1900.mature::NC_058067.1:16118269-16118291(-)	Cluster_1900.mature::NC_058067.1:16118269-16118291(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_1998.mature::NC_058067.1:21549048-21549069(+)	Cluster_1998.mature::NC_058067.1:21549048-21549069(+)	100	21	0	0	1	21	1	21	1.92e-09	42.1
Cluster_2057.mature::NC_058067.1:25838852-25838876(+)	Cluster_2057.mature::NC_058067.1:25838852-25838876(+)	100	24	0	0	1	24	1	24	3.74e-11	48.1
Cluster_2074.mature::NC_058067.1:26890879-26890901(+)	Cluster_2074.mature::NC_058067.1:26890879-26890901(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_2521.mature::NC_058068.1:597877-597899(+)	Cluster_2522.mature::NC_058068.1:598173-598195(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_2522.mature::NC_058068.1:598173-598195(+)	Cluster_2522.mature::NC_058068.1:598173-598195(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_3019.mature::NC_058068.1:17539511-17539533(-)	Cluster_3019.mature::NC_058068.1:17539511-17539533(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_3087.mature::NC_058069.1:1868155-1868177(+)	Cluster_3087.mature::NC_058069.1:1868155-1868177(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_3090.mature::NC_058069.1:2018510-2018533(-)	Cluster_3090.mature::NC_058069.1:2018510-2018533(-)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_3672.mature::NC_058069.1:21012168-21012190(-)	Cluster_3672.mature::NC_058069.1:21012168-21012190(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_3973.mature::NC_058070.1:2185007-2185030(-)	Cluster_3973.mature::NC_058070.1:2185007-2185030(-)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_4247.mature::NC_058070.1:11598966-11598988(+)	Cluster_4247.mature::NC_058070.1:11598966-11598988(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_4867.mature::NC_058070.1:26874026-26874048(+)	Cluster_4867.mature::NC_058070.1:26874026-26874048(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_5241.mature::NC_058071.1:8840802-8840823(+)	Cluster_5241.mature::NC_058071.1:8840802-8840823(+)	100	21	0	0	1	21	1	21	1.92e-09	42.1
Cluster_6376.mature::NC_058072.1:19030617-19030639(+)	Cluster_6376.mature::NC_058072.1:19030617-19030639(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_6439.mature::NC_058072.1:23262867-23262889(-)	Cluster_6439.mature::NC_058072.1:23262867-23262889(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_6958.mature::NC_058073.1:11426850-11426872(-)	Cluster_6958.mature::NC_058073.1:11426850-11426872(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_6977.mature::NC_058073.1:12437102-12437124(+)	Cluster_6977.mature::NC_058073.1:12437102-12437124(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_7025.mature::NC_058073.1:15996878-15996901(-)	Cluster_7025.mature::NC_058073.1:15996878-15996901(-)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_8475.mature::NC_058075.1:15908522-15908544(+)	Cluster_8475.mature::NC_058075.1:15908522-15908544(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_8545.mature::NC_058075.1:19537877-19537901(-)	Cluster_8545.mature::NC_058075.1:19537877-19537901(-)	100	24	0	0	1	24	1	24	3.74e-11	48.1
Cluster_9460.mature::NC_058077.1:2892707-2892729(+)	Cluster_9460.mature::NC_058077.1:2892707-2892729(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_10055.mature::NC_058077.1:21629096-21629118(+)	Cluster_10055.mature::NC_058077.1:21629096-21629118(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_10187.mature::NC_058078.1:5700442-5700464(-)	Cluster_10187.mature::NC_058078.1:5700442-5700464(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_10487.mature::NC_058078.1:13646563-13646585(+)	Cluster_10487.mature::NC_058078.1:13646563-13646585(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_10675.mature::NC_058079.1:2370984-2371006(+)	Cluster_10675.mature::NC_058079.1:2370984-2371006(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_10726.mature::NC_058079.1:5232178-5232199(+)	Cluster_10729.mature::NC_058079.1:5261442-5261463(+)	100	21	0	0	1	21	1	21	1.92e-09	42.1
Cluster_10729.mature::NC_058079.1:5261442-5261463(+)	Cluster_10729.mature::NC_058079.1:5261442-5261463(+)	100	21	0	0	1	21	1	21	1.92e-09	42.1
Cluster_16040.mature::NW_025322765.1:722296-722318(+)	Cluster_16041.mature::NW_025322765.1:799181-799203(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_16041.mature::NW_025322765.1:799181-799203(-)	Cluster_16041.mature::NW_025322765.1:799181-799203(-)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_17867.mature::NW_025323116.1:130838-130859(-)	Cluster_17867.mature::NW_025323116.1:130838-130859(-)	100	21	0	0	1	21	1	21	1.92e-09	42.1
Cluster_29.mature::Porites_evermani_scaffold_1:1404271-1404293(-)	Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	100	7	0	0	1	7	8	2	0.46	14.4
Cluster_578.mature::Porites_evermani_scaffold_16:383436-383458(-)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	8	0	0	15	22	6	13	0.12	16.4
Cluster_786.mature::Porites_evermani_scaffold_26:382571-382593(-)	Cluster_316.mature::NC_058066.1:12757146-12757168(-)	100	8	0	0	14	21	3	10	0.12	16.4
Cluster_1125.mature::Porites_evermani_scaffold_47:475993-476015(-)	Cluster_3019.mature::NC_058068.1:17539511-17539533(-)	100	9	0	0	13	21	2	10	0.03	18.3
Cluster_1153.mature::Porites_evermani_scaffold_49:151639-151661(-)	Cluster_6977.mature::NC_058073.1:12437102-12437124(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_2770.mature::Porites_evermani_scaffold_138:127965-127987(+)	Cluster_6965.mature::NC_058073.1:11856173-11856195(+)	100	6	0	0	1	6	2	7	1.8	12.4
Cluster_2837.mature::Porites_evermani_scaffold_145:5405-5427(+)	Cluster_1998.mature::NC_058067.1:21549048-21549069(+)	100	6	0	0	4	9	13	8	1.8	12.4
Cluster_2871.mature::Porites_evermani_scaffold_148:94582-94604(-)	Cluster_1998.mature::NC_058067.1:21549048-21549069(+)	100	7	0	0	12	18	21	15	0.46	14.4
Cluster_4063.mature::Porites_evermani_scaffold_253:200964-200986(+)	Cluster_10487.mature::NC_058078.1:13646563-13646585(+)	100	6	0	0	8	13	7	2	1.8	12.4
Cluster_4064.mature::Porites_evermani_scaffold_253:202285-202307(+)	Cluster_16041.mature::NW_025322765.1:799181-799203(-)	100	7	0	0	10	16	19	13	0.46	14.4
Cluster_4097.mature::Porites_evermani_scaffold_257:110360-110382(-)	Cluster_8475.mature::NC_058075.1:15908522-15908544(+)	100	9	0	0	11	19	7	15	0.03	18.3
Cluster_4617.mature::Porites_evermani_scaffold_316:88464-88486(-)	Cluster_3672.mature::NC_058069.1:21012168-21012190(-)	100	7	0	0	12	18	15	9	0.46	14.4
Cluster_4722.mature::Porites_evermani_scaffold_334:153604-153626(-)	Cluster_4247.mature::NC_058070.1:11598966-11598988(+)	100	6	0	0	7	12	9	14	1.8	12.4
Cluster_5540.mature::Porites_evermani_scaffold_430:205886-205909(-)	Cluster_7025.mature::NC_058073.1:15996878-15996901(-)	100	23	0	0	1	23	1	23	1.4e-10	46.1
Cluster_5636.mature::Porites_evermani_scaffold_442:239762-239784(-)	Cluster_10055.mature::NC_058077.1:21629096-21629118(+)	100	6	0	0	12	17	15	20	1.8	12.4
Cluster_5849.mature::Porites_evermani_scaffold_461:215507-215529(+)	Cluster_10487.mature::NC_058078.1:13646563-13646585(+)	100	8	0	0	5	12	7	14	0.12	16.4
Cluster_6211.mature::Porites_evermani_scaffold_502:58996-59018(-)	Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	100	22	0	0	1	22	1	22	5.19e-10	44.1
Cluster_6865.mature::Porites_evermani_scaffold_590:199157-199179(+)	Cluster_10187.mature::NC_058078.1:5700442-5700464(-)	100	6	0	0	5	10	21	16	1.8	12.4
Cluster_6866.mature::Porites_evermani_scaffold_590:199391-199413(+)	Cluster_514.mature::NC_058066.1:20088678-20088700(+)	100	7	0	0	4	10	1	7	0.46	14.4
Cluster_6867.mature::Porites_evermani_scaffold_590:199854-199876(+)	Cluster_10055.mature::NC_058077.1:21629096-21629118(+)	100	7	0	0	13	19	1	7	0.46	14.4
Cluster_6875.mature::Porites_evermani_scaffold_594:158229-158250(+)	Cluster_5241.mature::NC_058071.1:8840802-8840823(+)	100	21	0	0	1	21	1	21	1.92e-09	42.1
Cluster_7013.mature::Porites_evermani_scaffold_613:156504-156526(+)	Cluster_3973.mature::NC_058070.1:2185007-2185030(-)	100	7	0	0	14	20	14	20	0.46	14.4
Cluster_7604.mature::Porites_evermani_scaffold_730:81384-81406(-)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	8	0	0	13	20	14	21	0.12	16.4
Cluster_7605.mature::Porites_evermani_scaffold_730:82422-82444(-)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	8	0	0	13	20	14	21	0.12	16.4
Cluster_7804.mature::Porites_evermani_scaffold_768:138024-138046(+)	Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	100	7	0	0	13	19	8	2	0.46	14.4
Cluster_8571.mature::Porites_evermani_scaffold_866:22853-22875(-)	Cluster_4867.mature::NC_058070.1:26874026-26874048(+)	100	7	0	0	4	10	13	19	0.46	14.4
Cluster_8824.mature::Porites_evermani_scaffold_910:99254-99275(+)	Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	100	7	0	0	1	7	13	7	0.44	14.4
Cluster_8827.mature::Porites_evermani_scaffold_910:118741-118762(+)	Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	100	7	0	0	1	7	13	7	0.44	14.4
Cluster_8828.mature::Porites_evermani_scaffold_910:139352-139373(+)	Cluster_7077.mature::NC_058074.1:2966522-2966545(+)	100	6	0	0	2	7	12	7	1.7	12.4
Cluster_8920.mature::Porites_evermani_scaffold_942:133697-133719(+)	Cluster_2551.mature::NC_058068.1:3756521-3756544(-)	100	6	0	0	12	17	14	19	1.8	12.4
Cluster_9077.mature::Porites_evermani_scaffold_984:51882-51904(-)	Cluster_17867.mature::NW_025323116.1:130838-130859(-)	100	6	0	0	7	12	8	13	1.8	12.4
Cluster_9915.mature::Porites_evermani_scaffold_1128:125547-125568(-)	Cluster_2057.mature::NC_058067.1:25838852-25838876(+)	100	7	0	0	8	14	10	4	0.44	14.4
Cluster_9991.mature::Porites_evermani_scaffold_1159:6701-6723(+)	Cluster_4247.mature::NC_058070.1:11598966-11598988(+)	100	6	0	0	12	17	6	11	1.8	12.4
