"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","ncrna_chrom","ncrna_start","ncrna_end","gf_chrom","gf_type","gf_start","gf_end","overlap","prop.sig.genes","Species","ncrna"
"1","LOC114951564","GO:0006355","regulation of DNA-templated transcription",2068,7,2.59,0.00707,"Biological Processes","NC_058066.1",27441463,27447983,"NC_058066.1","mRNA",27462364,27464454,-14381,0.00338491295938104,"Acropora pulchra","piRNA"
"2","LOC114959002","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,647,0.0248756218905473,"Acropora pulchra","piRNA"
"3","LOC114959002","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,647,0.0103926096997691,"Acropora pulchra","piRNA"
"4","LOC114959002","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,647,0.0465116279069767,"Acropora pulchra","piRNA"
"5","LOC114962739","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,-553,0.0103926096997691,"Acropora pulchra","piRNA"
"6","LOC114965810","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,-10541,0.0116429495472186,"Acropora pulchra","piRNA"
"7","LOC114967414","GO:0006355","regulation of DNA-templated transcription",2068,7,2.59,0.00707,"Biological Processes","NC_058066.1",17726050,17734960,"NC_058066.1","mRNA",17729627,17732829,3202,0.00338491295938104,"Acropora pulchra","piRNA"
"8","LOC114969156","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NW_025322622.1",1086066,1100717,"NW_025322622.1","mRNA",1098946,1104938,1771,0.0103926096997691,"Acropora pulchra","piRNA"
"9","LOC114969156","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322622.1",1086066,1100717,"NW_025322622.1","mRNA",1098946,1104938,1771,0.0116429495472186,"Acropora pulchra","piRNA"
"10","LOC114968804","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,3367,0.0248756218905473,"Acropora pulchra","piRNA"
"11","LOC114968804","GO:0000724","double-strand break repair via homologous recombina...",256,3,0.32,0.00297,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,3367,0.01171875,"Acropora pulchra","piRNA"
"12","LOC114968804","GO:0006268","DNA unwinding involved in DNA replication",123,3,0.15,0.00036,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,3367,0.024390243902439,"Acropora pulchra","piRNA"
"13","LOC114968804","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,3367,0.0465116279069767,"Acropora pulchra","piRNA"
"14","LOC122949366","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.0248756218905473,"Acropora pulchra","piRNA"
"15","LOC122949366","GO:0000724","double-strand break repair via homologous recombina...",256,3,0.32,0.00297,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.01171875,"Acropora pulchra","piRNA"
"16","LOC122949366","GO:0006268","DNA unwinding involved in DNA replication",123,3,0.15,0.00036,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.024390243902439,"Acropora pulchra","piRNA"
"17","LOC122949366","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,1250,0.0465116279069767,"Acropora pulchra","piRNA"
"18","LOC114967789","GO:0000724","double-strand break repair via homologous recombina...",256,3,0.32,0.00297,"Biological Processes","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,1587,0.01171875,"Acropora pulchra","piRNA"
