transcript::NC_058066.1:10875146-10876335	transcript::Pocillopora_meandrina_HIv1___Sc0000003:7376127-7377053	81.590	239	1.37e-47
transcript::NC_058066.1:7636276-7636724	transcript::Pocillopora_meandrina_HIv1___Sc0000002:9016380-9016797	93.382	272	1.65e-112
transcript::NC_058066.1:9702703-9703128	transcript::Pocillopora_meandrina_HIv1___Sc0000009:9427786-9429239	85.714	168	4.79e-43
transcript::NC_058066.1:22113800-22114069	transcript::Pocillopora_meandrina_HIv1___Sc0000006:8498458-8499439	86.691	278	1.29e-81
transcript::NC_058066.1:24882146-24883272	transcript::Pocillopora_meandrina_HIv1___Sc0000020:5490815-5492326	80.208	384	2.71e-69
transcript::NC_058066.1:25299492-25300233	transcript::Pocillopora_meandrina_HIv1___Sc0000003:9683693-9687041	83.333	276	4.98e-60
transcript::NC_058066.1:26705465-26706165	transcript::Pocillopora_meandrina_HIv1___Sc0000000:6904314-6906915	76.026	463	2.20e-53
transcript::NC_058066.1:26705465-26706165	transcript::Pocillopora_meandrina_HIv1___Sc0000000:6904314-6906915	96.639	119	3.68e-51
transcript::NC_058066.1:28647879-28648183	transcript::Pocillopora_meandrina_HIv1___Sc0000000:11888733-11889138	97.211	251	6.49e-120
transcript::NC_058067.1:27877524-27878624	transcript::Pocillopora_meandrina_HIv1___Sc0000015:2019752-2021670	83.258	221	9.80e-49
transcript::NC_058067.1:7981777-7982271	transcript::Pocillopora_meandrina_HIv1___Sc0000006:8498458-8499439	95.344	494	0.0
transcript::NC_058067.1:8840770-8841064	transcript::Pocillopora_meandrina_HIv1___Sc0000005:1187196-1188155	93.939	132	1.48e-51
transcript::NC_058067.1:11014677-11015033	transcript::Pocillopora_meandrina_HIv1___Sc0000002:90551-90962	92.308	117	6.65e-41
transcript::NC_058067.1:24814433-24814806	transcript::Pocillopora_meandrina_HIv1___Sc0000000:1829312-1830588	89.276	373	4.75e-132
transcript::NC_058067.1:24814433-24814806	transcript::Pocillopora_meandrina_HIv1___Sc0000000:1829312-1830588	91.716	169	5.25e-62
transcript::NC_058067.1:24814433-24814806	transcript::Pocillopora_meandrina_HIv1___Sc0000000:1829312-1830588	91.124	169	2.44e-60
transcript::NC_058067.1:33317038-33317314	transcript::Pocillopora_meandrina_HIv1___Sc0000009:9427786-9429239	80.385	260	1.08e-47
transcript::NC_058068.1:8696691-8696984	transcript::Pocillopora_meandrina_HIv1___Sc0000000:1829312-1830588	89.761	293	6.37e-105
transcript::NC_058068.1:12418287-12419363	transcript::Pocillopora_meandrina_HIv1___Sc0000005:1187196-1188155	93.651	126	1.24e-47
transcript::NC_058068.1:13243563-13245165	transcript::Pocillopora_meandrina_HIv1___Sc0000005:1187196-1188155	90.411	146	5.15e-48
transcript::NC_058069.1:24993470-24997619	transcript::Pocillopora_meandrina_HIv1___Sc0000024:3370967-3372641	80.043	461	3.53e-88
transcript::NC_058069.1:24993470-24997619	transcript::Pocillopora_meandrina_HIv1___Sc0000024:3370967-3372641	78.283	396	1.70e-61
transcript::NC_058069.1:15951803-15952319	transcript::Pocillopora_meandrina_HIv1___Sc0000003:18888267-18888736	99.304	431	0.0
transcript::NC_058069.1:23363082-23363499	transcript::Pocillopora_meandrina_HIv1___Sc0000002:8996056-8998323	83.582	268	5.90e-62
transcript::NC_058069.1:29121716-29122435	transcript::Pocillopora_meandrina_HIv1___Sc0000000:1829312-1830588	91.875	160	6.25e-59
transcript::NC_058070.1:16125997-16126349	transcript::Pocillopora_meandrina_HIv1___Sc0000019:2731574-2731814	91.824	159	1.07e-58
transcript::NC_058070.1:17047909-17048505	transcript::Pocillopora_meandrina_HIv1___Sc0000013:5606900-5607512	88.641	493	5.69e-168
transcript::NC_058070.1:27225551-27226424	transcript::Pocillopora_meandrina_HIv1___Sc0000009:9427786-9429239	75.779	578	1.60e-75
transcript::NC_058071.1:11860365-11861385	transcript::Pocillopora_meandrina_HIv1___Sc0000002:9016380-9016797	92.363	419	5.92e-170
transcript::NC_058071.1:5297960-5298261	transcript::Pocillopora_meandrina_HIv1___xfSc0000616:4028-15295	89.069	247	3.14e-83
transcript::NC_058072.1:1653375-1653776	transcript::Pocillopora_meandrina_HIv1___Sc0000016:298164-299030	96.569	204	1.17e-93
transcript::NC_058072.1:7298670-7299188	transcript::Pocillopora_meandrina_HIv1___Sc0000003:9683693-9687041	83.966	237	1.61e-53
transcript::NC_058072.1:10634839-10635165	transcript::Pocillopora_meandrina_HIv1___Sc0000016:298164-299030	95.783	166	1.25e-72
transcript::NC_058072.1:11732691-11733469	transcript::Pocillopora_meandrina_HIv1___Sc0000004:3123743-3124959	85.635	181	1.15e-46
transcript::NC_058072.1:12857428-12858020	transcript::Pocillopora_meandrina_HIv1___Sc0000024:775644-777067	89.937	159	1.85e-53
transcript::NC_058072.1:13451238-13452114	transcript::Pocillopora_meandrina_HIv1___Sc0000000:6904314-6906915	93.349	421	6.46e-179
transcript::NC_058072.1:13451238-13452114	transcript::Pocillopora_meandrina_HIv1___Sc0000000:6904314-6906915	88.889	135	4.70e-41
