transcript::Porites_evermani_scaffold_160:228967-229428	transcript::Pocillopora_meandrina_HIv1___Sc0000023:599888-600604	85.758	330	6.29e-92
transcript::Porites_evermani_scaffold_167:277269-278815	transcript::Pocillopora_meandrina_HIv1___Sc0000028:2192471-2193864	84.328	268	1.35e-63
transcript::Porites_evermani_scaffold_167:401569-401832	transcript::Pocillopora_meandrina_HIv1___xfSc0000616:4028-15295	90.000	130	1.33e-41
transcript::Porites_evermani_scaffold_20:398463-398682	transcript::Pocillopora_meandrina_HIv1___Sc0000023:3776101-3776461	96.804	219	1.01e-101
transcript::Porites_evermani_scaffold_23:115107-116712	transcript::Pocillopora_meandrina_HIv1___Sc0000002:6130717-6137819	99.388	327	9.37e-170
transcript::Porites_evermani_scaffold_23:115107-116712	transcript::Pocillopora_meandrina_HIv1___Sc0000002:6130717-6137819	99.320	294	2.07e-151
transcript::Porites_evermani_scaffold_298:89325-89885	transcript::Pocillopora_meandrina_HIv1___Sc0000007:5908202-5908795	91.489	141	3.78e-50
transcript::Porites_evermani_scaffold_332:226118-226625	transcript::Pocillopora_meandrina_HIv1___Sc0000006:301171-302467	93.156	263	1.88e-107
transcript::Porites_evermani_scaffold_332:226118-226625	transcript::Pocillopora_meandrina_HIv1___Sc0000006:301171-302467	91.282	195	4.28e-69
transcript::Porites_evermani_scaffold_3429:782-1937	transcript::Pocillopora_meandrina_HIv1___Sc0000010:7129325-7132188	93.130	262	1.58e-106
transcript::Porites_evermani_scaffold_4181:23331-26487	transcript::Pocillopora_meandrina_HIv1___xfSc0000616:4028-15295	85.701	1056	0.0
transcript::Porites_evermani_scaffold_4181:23331-26487	transcript::Pocillopora_meandrina_HIv1___xfSc0000616:4028-15295	79.290	1212	0.0
transcript::Porites_evermani_scaffold_4543:19052-19274	transcript::Pocillopora_meandrina_HIv1___Sc0000028:2192471-2193864	94.872	156	1.39e-65
transcript::Porites_evermani_scaffold_5096:5936-15471	transcript::Pocillopora_meandrina_HIv1___Sc0000004:14578961-14579163	96.591	176	2.29e-78
transcript::Porites_evermani_scaffold_5096:5936-15471	transcript::Pocillopora_meandrina_HIv1___Sc0000004:14578961-14579163	96.023	176	1.07e-76
transcript::Porites_evermani_scaffold_522:191973-192204	transcript::Pocillopora_meandrina_HIv1___Sc0000042:1816147-1817004	95.238	231	2.96e-102
transcript::Porites_evermani_scaffold_6433:1946-2649	transcript::Pocillopora_meandrina_HIv1___xfSc0000616:4028-15295	85.008	647	0.0
transcript::Porites_evermani_scaffold_66:566918-568013	transcript::Pocillopora_meandrina_HIv1___Sc0000004:10787323-10788296	78.343	845	1.41e-151
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	86.809	470	5.91e-147
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	84.679	483	1.30e-133
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	84.178	493	6.04e-132
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.333	504	1.31e-128
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	84.289	471	1.69e-127
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.884	484	6.08e-127
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.851	483	6.08e-127
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	84.144	473	2.19e-126
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.135	504	2.83e-125
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.333	492	2.83e-125
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.644	483	1.02e-124
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.840	507	1.02e-124
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.869	502	3.66e-124
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.834	501	1.32e-123
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.704	503	1.70e-122
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.948	461	2.20e-121
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.439	471	2.85e-120
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.306	503	3.68e-119
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.213	506	1.33e-118
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	84.870	423	4.77e-118
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.107	503	6.16e-117
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	82.268	485	3.71e-114
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	83.960	399	3.76e-104
transcript::Porites_evermani_scaffold_67:127207-128842	transcript::Pocillopora_meandrina_HIv1___Sc0000025:5093147-5101078	85.100	349	6.34e-97
