"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","pi_length","gf_length","prop.sig.genes"
"1","Peve_00000418","GO:0006094","gluconeogenesis",52,1,0.03,0.0339,"Biological Processes","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.0192307692307692
"2","Peve_00000418","GO:0015709","thiosulfate transport",2,1,0,0.0013,"Biological Processes","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.5
"3","Peve_00000418","GO:0015729","oxaloacetate transport",2,1,0,0.0013,"Biological Processes","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.5
"4","Peve_00000418","GO:0035435","phosphate ion transmembrane transport",10,1,0.01,0.0066,"Biological Processes","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.1
"5","Peve_00000418","GO:0071422","succinate transmembrane transport",7,1,0,0.0046,"Biological Processes","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.142857142857143
"6","Peve_00000418","GO:0071423","malate transmembrane transport",2,1,0,0.0013,"Biological Processes","Porites_evermani_scaffold_1011",75258,81284,"Porites_evermani_scaffold_1011","mRNA",42046,82245,"ID=Peve_00000418;Name=Peve_00000418;start=1;stop=1;cds_size=924",6027,6026,40199,0.5
"7","Peve_00005592","GO:0008361","regulation of cell size",293,2,0.19,0.0156,"Biological Processes","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,0.0068259385665529
"8","Peve_00005592","GO:0010090","trichome morphogenesis",3,2,0,1.2e-06,"Biological Processes","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,0.666666666666667
"9","Peve_00005592","GO:0030308","negative regulation of cell growth",138,2,0.09,0.0037,"Biological Processes","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,0.0144927536231884
"10","Peve_00005592","GO:0032876","negative regulation of DNA endoreduplication",3,2,0,1.2e-06,"Biological Processes","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,0.666666666666667
"11","Peve_00005592","GO:0042631","cellular response to water deprivation",19,2,0.01,6.9e-05,"Biological Processes","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,0.105263157894737
"12","Peve_00005592","GO:2000037","regulation of stomatal complex patterning",2,2,0,4.1e-07,"Biological Processes","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,1
"13","Peve_00005592","GO:2000038","regulation of stomatal complex development",2,2,0,4.1e-07,"Biological Processes","Porites_evermani_scaffold_1357",44019,52953,"Porites_evermani_scaffold_1357","mRNA",48062,48955,"ID=Peve_00005592;Name=Peve_00005592;start=1;stop=1;cds_size=894",894,8934,893,1
"14","Peve_00008728","GO:0006564","L-serine biosynthetic process",6,1,0,0.004,"Biological Processes","Porites_evermani_scaffold_1598",7683,11175,"Porites_evermani_scaffold_1598","mRNA",4611,17094,"ID=Peve_00008728;Name=Peve_00008728;start=1;stop=1;cds_size=1113",3493,3492,12483,0.166666666666667
"15","Peve_00014408","GO:0000724","double-strand break repair via homologous recombina...",260,2,0.17,0.0124,"Biological Processes","Porites_evermani_scaffold_209",138010,146332,"Porites_evermani_scaffold_209","mRNA",142487,143203,"ID=Peve_00014408;Name=Peve_00014408;start=1;stop=0;cds_size=624",717,8322,716,0.00769230769230769
"16","Peve_00015625","GO:0000724","double-strand break repair via homologous recombina...",260,2,0.17,0.0124,"Biological Processes","Porites_evermani_scaffold_2205",31022,39613,"Porites_evermani_scaffold_2205","mRNA",33152,33766,"ID=Peve_00015625;Name=Peve_00015625;start=1;stop=1;cds_size=615",615,8591,614,0.00769230769230769
"17","Peve_00017276","GO:0008361","regulation of cell size",293,2,0.19,0.0156,"Biological Processes","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,0.0068259385665529
"18","Peve_00017276","GO:0010090","trichome morphogenesis",3,2,0,1.2e-06,"Biological Processes","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,0.666666666666667
"19","Peve_00017276","GO:0030308","negative regulation of cell growth",138,2,0.09,0.0037,"Biological Processes","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,0.0144927536231884
"20","Peve_00017276","GO:0032876","negative regulation of DNA endoreduplication",3,2,0,1.2e-06,"Biological Processes","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,0.666666666666667
"21","Peve_00017276","GO:0042631","cellular response to water deprivation",19,2,0.01,6.9e-05,"Biological Processes","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,0.105263157894737
"22","Peve_00017276","GO:2000037","regulation of stomatal complex patterning",2,2,0,4.1e-07,"Biological Processes","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,1
"23","Peve_00017276","GO:2000038","regulation of stomatal complex development",2,2,0,4.1e-07,"Biological Processes","Porites_evermani_scaffold_2383",35368,40393,"Porites_evermani_scaffold_2383","mRNA",35880,36773,"ID=Peve_00017276;Name=Peve_00017276;start=1;stop=1;cds_size=894",894,5025,893,1
"24","Peve_00024512","GO:0030719","P granule organization",12,1,0.01,0.0079,"Biological Processes","Porites_evermani_scaffold_3289",41504,44889,"Porites_evermani_scaffold_3289","mRNA",29384,48415,"ID=Peve_00024512;Name=Peve_00024512;start=1;stop=1;cds_size=3309",3386,3385,19031,0.0833333333333333
"25","Peve_00024512","GO:0034587","piRNA processing",30,1,0.02,0.0197,"Biological Processes","Porites_evermani_scaffold_3289",41504,44889,"Porites_evermani_scaffold_3289","mRNA",29384,48415,"ID=Peve_00024512;Name=Peve_00024512;start=1;stop=1;cds_size=3309",3386,3385,19031,0.0333333333333333
"26","Peve_00024512","GO:0141007","transposable element silencing by siRNA-mediated he...",14,1,0.01,0.0092,"Biological Processes","Porites_evermani_scaffold_3289",41504,44889,"Porites_evermani_scaffold_3289","mRNA",29384,48415,"ID=Peve_00024512;Name=Peve_00024512;start=1;stop=1;cds_size=3309",3386,3385,19031,0.0714285714285714
"27","Peve_00028786","GO:1905373","ceramide phosphoethanolamine biosynthetic process",2,1,0,0.0013,"Biological Processes","Porites_evermani_scaffold_40",420234,428017,"Porites_evermani_scaffold_40","mRNA",397638,420502,"ID=Peve_00028786;Name=Peve_00028786;start=1;stop=1;cds_size=999",269,7783,22864,0.5
"28","Peve_00030349","GO:0000494","box C/D sno(s)RNA 3'-end processing",3,1,0,0.002,"Biological Processes","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.333333333333333
"29","Peve_00030349","GO:0031167","rRNA methylation",24,1,0.02,0.0158,"Biological Processes","Porites_evermani_scaffold_4290",19265,20800,"Porites_evermani_scaffold_4290","mRNA",13118,22917,"ID=Peve_00030349;Name=Peve_00030349;start=0;stop=1;cds_size=867",1536,1535,9799,0.0416666666666667
"30","Peve_00034707","GO:0006346","DNA methylation-dependent constitutive heterochroma...",18,1,0.01,0.0119,"Biological Processes","Porites_evermani_scaffold_53",508011,520458,"Porites_evermani_scaffold_53","mRNA",515912,516831,"ID=Peve_00034707;Name=Peve_00034707;start=1;stop=1;cds_size=294",920,12447,919,0.0555555555555556
"31","Peve_00034707","GO:0030330","DNA damage response, signal transduction by p53 cla...",41,1,0.03,0.0268,"Biological Processes","Porites_evermani_scaffold_53",508011,520458,"Porites_evermani_scaffold_53","mRNA",515912,516831,"ID=Peve_00034707;Name=Peve_00034707;start=1;stop=1;cds_size=294",920,12447,919,0.024390243902439
"32","Peve_00043211","GO:0051262","protein tetramerization",131,2,0.09,0.0364,"Biological Processes","Porites_evermani_scaffold_873",95797,101848,"Porites_evermani_scaffold_873","mRNA",98755,100943,"ID=Peve_00043211;Name=Peve_00043211;start=1;stop=1;cds_size=1251",2189,6051,2188,0.0152671755725191
