"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","l_chrom","l_start","l_end","V4","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","is_overlapping","prop.sig.genes"
"1","Peve_00000186","GO:0003281","ventricular septum development",55,5,3.13,0.01678,"Biological Processes","Porites_evermani_scaffold_10",413266,413874,"transcript::Porites_evermani_scaffold_10:413266-413874","Porites_evermani_scaffold_10","mRNA",352045,409006,"ID=Peve_00000186;Name=Peve_00000186;start=1;stop=1;cds_size=6333",4260,FALSE,0.0909090909090909
"2","Peve_00000186","GO:0010821","regulation of mitochondrion organization",80,8,4.55,0.01671,"Biological Processes","Porites_evermani_scaffold_10",413266,413874,"transcript::Porites_evermani_scaffold_10:413266-413874","Porites_evermani_scaffold_10","mRNA",352045,409006,"ID=Peve_00000186;Name=Peve_00000186;start=1;stop=1;cds_size=6333",4260,FALSE,0.1
"3","Peve_00000186","GO:0071222","cellular response to lipopolysaccharide",152,18,8.64,0.03505,"Biological Processes","Porites_evermani_scaffold_10",413266,413874,"transcript::Porites_evermani_scaffold_10:413266-413874","Porites_evermani_scaffold_10","mRNA",352045,409006,"ID=Peve_00000186;Name=Peve_00000186;start=1;stop=1;cds_size=6333",4260,FALSE,0.118421052631579
"4","Peve_00000186","GO:0090324","negative regulation of oxidative phosphorylation",3,2,0.17,0.00931,"Biological Processes","Porites_evermani_scaffold_10",413266,413874,"transcript::Porites_evermani_scaffold_10:413266-413874","Porites_evermani_scaffold_10","mRNA",352045,409006,"ID=Peve_00000186;Name=Peve_00000186;start=1;stop=1;cds_size=6333",4260,FALSE,0.666666666666667
"5","Peve_00000458","GO:0160077","lipid droplet fusion",5,2,0.28,0.02875,"Biological Processes","Porites_evermani_scaffold_1014",105572,106040,"transcript::Porites_evermani_scaffold_1014:105572-106040","Porites_evermani_scaffold_1014","mRNA",102000,104319,"ID=Peve_00000458;Name=Peve_00000458;start=1;stop=1;cds_size=906",1253,FALSE,0.4
"6","Peve_00000458","GO:0160077","lipid droplet fusion",5,2,0.28,0.02875,"Biological Processes","Porites_evermani_scaffold_1014",106186,109731,"transcript::Porites_evermani_scaffold_1014:106186-109731","Porites_evermani_scaffold_1014","mRNA",102000,104319,"ID=Peve_00000458;Name=Peve_00000458;start=1;stop=1;cds_size=906",1867,FALSE,0.4
"7","Peve_00000477","GO:0007346","regulation of mitotic cell cycle",729,62,41.42,0.0075,"Biological Processes","Porites_evermani_scaffold_1016",8862,9109,"transcript::Porites_evermani_scaffold_1016:8862-9109","Porites_evermani_scaffold_1016","mRNA",25113,55212,"ID=Peve_00000477;Name=Peve_00000477;start=0;stop=1;cds_size=3651",16004,FALSE,0.0850480109739369
"8","Peve_00000477","GO:0051301","cell division",1085,74,61.65,0.03087,"Biological Processes","Porites_evermani_scaffold_1016",8862,9109,"transcript::Porites_evermani_scaffold_1016:8862-9109","Porites_evermani_scaffold_1016","mRNA",25113,55212,"ID=Peve_00000477;Name=Peve_00000477;start=0;stop=1;cds_size=3651",16004,FALSE,0.0682027649769585
"9","Peve_00000517","GO:0006468","protein phosphorylation",909,64,51.65,0.03272,"Biological Processes","Porites_evermani_scaffold_102",24899,29082,"transcript::Porites_evermani_scaffold_102:24899-29082","Porites_evermani_scaffold_102","mRNA",8891,20544,"ID=Peve_00000517;Name=Peve_00000517;start=1;stop=1;cds_size=708",4355,FALSE,0.0704070407040704
"10","Peve_00000517","GO:0090303","positive regulation of wound healing",52,7,2.95,0.02691,"Biological Processes","Porites_evermani_scaffold_102",24899,29082,"transcript::Porites_evermani_scaffold_102:24899-29082","Porites_evermani_scaffold_102","mRNA",8891,20544,"ID=Peve_00000517;Name=Peve_00000517;start=1;stop=1;cds_size=708",4355,FALSE,0.134615384615385
