"","X","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","prop.sig.genes","Species"
"1",1,"LOC114951564","GO:0006355","regulation of DNA-templated transcription",2068,7,2.59,0.00707,"Biological Processes","NC_058066.1",27441463,27447983,"NC_058066.1","mRNA",27462364,27464454,"ID=rna-XM_029327730.2;Parent=gene-LOC114951564;Dbxref=GeneID:114951564,Genbank:XM_029327730.2;Name=XM_029327730.2;gbkey=mRNA;gene=LOC114951564;model_evidence=Supporting evidence includes similarity to: 3 Proteins;product=zinc finger protein 862-like;transcript_id=XM_029327730.2",-14381,0.00338491295938104,"Acropora pulchra"
"2",5,"LOC114959002","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0248756218905473,"Acropora pulchra"
"3",7,"LOC114959002","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0103926096997691,"Acropora pulchra"
"4",10,"LOC114959002","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0465116279069767,"Acropora pulchra"
"5",20,"LOC114962739","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,"ID=rna-XM_029341779.2;Parent=gene-LOC114962739;Dbxref=GeneID:114962739,Genbank:XM_029341779.2;Name=XM_029341779.2;gbkey=mRNA;gene=LOC114962739;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 52%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC114962739;transcript_id=XM_029341779.2",-553,0.0103926096997691,"Acropora pulchra"
"6",23,"LOC114965810","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,"ID=rna-XM_029345528.2;Parent=gene-LOC114965810;Dbxref=GeneID:114965810,Genbank:XM_029345528.2;Name=XM_029345528.2;gbkey=mRNA;gene=LOC114965810;model_evidence=Supporting evidence includes similarity to: 1 Protein;product=uncharacterized protein K02A2.6-like;transcript_id=XM_029345528.2",-10541,0.0116429495472186,"Acropora pulchra"
"7",24,"LOC114967414","GO:0006355","regulation of DNA-templated transcription",2068,7,2.59,0.00707,"Biological Processes","NC_058066.1",17726050,17734960,"NC_058066.1","mRNA",17729627,17732829,"ID=rna-XM_029347425.2;Parent=gene-LOC114967414;Dbxref=GeneID:114967414,Genbank:XM_029347425.2;Name=XM_029347425.2;gbkey=mRNA;gene=LOC114967414;model_evidence=Supporting evidence includes similarity to: 8 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=zinc finger protein 862-like;transcript_id=XM_029347425.2",3202,0.00338491295938104,"Acropora pulchra"
"8",25,"LOC114969156","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NW_025322622.1",1086066,1100717,"NW_025322622.1","mRNA",1098946,1104938,"ID=rna-XM_029349462.2;Parent=gene-LOC114969156;Dbxref=GeneID:114969156,Genbank:XM_029349462.2;Name=XM_029349462.2;gbkey=mRNA;gene=LOC114969156;model_evidence=Supporting evidence includes similarity to: 11 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC114969156;transcript_id=XM_029349462.2",1771,0.0103926096997691,"Acropora pulchra"
"9",26,"LOC114969156","GO:0015074","DNA integration",773,9,0.97,1.1e-07,"Biological Processes","NW_025322622.1",1086066,1100717,"NW_025322622.1","mRNA",1098946,1104938,"ID=rna-XM_029349462.2;Parent=gene-LOC114969156;Dbxref=GeneID:114969156,Genbank:XM_029349462.2;Name=XM_029349462.2;gbkey=mRNA;gene=LOC114969156;model_evidence=Supporting evidence includes similarity to: 11 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC114969156;transcript_id=XM_029349462.2",1771,0.0116429495472186,"Acropora pulchra"
"10",36,"LOC114968804","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,"ID=rna-XM_044309359.1;Parent=gene-LOC114968804;Dbxref=GeneID:114968804,Genbank:XM_044309359.1;Name=XM_044309359.1;gbkey=mRNA;gene=LOC114968804;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=probable ATP-dependent DNA helicase RecS%2C transcript variant X2;transcript_id=XM_044309359.1",3367,0.0248756218905473,"Acropora pulchra"
"11",37,"LOC114968804","GO:0000724","double-strand break repair via homologous recombina...",256,3,0.32,0.00297,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,"ID=rna-XM_044309359.1;Parent=gene-LOC114968804;Dbxref=GeneID:114968804,Genbank:XM_044309359.1;Name=XM_044309359.1;gbkey=mRNA;gene=LOC114968804;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=probable ATP-dependent DNA helicase RecS%2C transcript variant X2;transcript_id=XM_044309359.1",3367,0.01171875,"Acropora pulchra"
"12",38,"LOC114968804","GO:0006268","DNA unwinding involved in DNA replication",123,3,0.15,0.00036,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,"ID=rna-XM_044309359.1;Parent=gene-LOC114968804;Dbxref=GeneID:114968804,Genbank:XM_044309359.1;Name=XM_044309359.1;gbkey=mRNA;gene=LOC114968804;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=probable ATP-dependent DNA helicase RecS%2C transcript variant X2;transcript_id=XM_044309359.1",3367,0.024390243902439,"Acropora pulchra"
"13",39,"LOC114968804","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,"ID=rna-XM_044309359.1;Parent=gene-LOC114968804;Dbxref=GeneID:114968804,Genbank:XM_044309359.1;Name=XM_044309359.1;gbkey=mRNA;gene=LOC114968804;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=probable ATP-dependent DNA helicase RecS%2C transcript variant X2;transcript_id=XM_044309359.1",3367,0.0465116279069767,"Acropora pulchra"
"14",40,"LOC122949366","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.0248756218905473,"Acropora pulchra"
"15",41,"LOC122949366","GO:0000724","double-strand break repair via homologous recombina...",256,3,0.32,0.00297,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.01171875,"Acropora pulchra"
"16",42,"LOC122949366","GO:0006268","DNA unwinding involved in DNA replication",123,3,0.15,0.00036,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.024390243902439,"Acropora pulchra"
"17",43,"LOC122949366","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.0465116279069767,"Acropora pulchra"
