Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged
NC_058066.1:152483-152910	Cluster_1	N	2	131	2	1	4
NC_058066.1:161064-161674	Cluster_2	N	57	48	219	32	193
NC_058066.1:172073-172496	Cluster_3	N	36	31	0	36	2
NC_058066.1:203242-203651	Cluster_4	N	14	28	3	17	38
NC_058066.1:204535-205150	Cluster_5	N	3	234	17	13	46
NC_058066.1:205745-206966	Cluster_6	N	914	432	78	247	259
NC_058066.1:210841-211344	Cluster_7	N	315	200	78	2	652
NC_058066.1:349655-351297	Cluster_8	N	497	1236	757	767	22
NC_058066.1:351491-353439	Cluster_9	N	3181	1995	1498	2030	185
NC_058066.1:598651-599068	Cluster_10	N	5	60	14	17	18
NC_058066.1:776275-776779	Cluster_11	N	0	318	3	62	182
NC_058066.1:853444-853867	Cluster_12	N	84	9	0	0	0
NC_058066.1:1120025-1120456	Cluster_13	N	0	3	0	2	285
NC_058066.1:1153376-1153803	Cluster_14	N	174	69	76	0	42
NC_058066.1:1154204-1154634	Cluster_15	N	219	22	135	0	91
NC_058066.1:1176401-1176821	Cluster_16	N	15	14	22	5	44
NC_058066.1:1208777-1209194	Cluster_17	N	2	1	30	85	0
NC_058066.1:1372702-1373125	Cluster_18	N	20	36	32	20	26
NC_058066.1:1423263-1423907	Cluster_19	N	13	35	190	119	1
NC_058066.1:1424553-1424985	Cluster_20	N	2	52	484	71	1
NC_058066.1:1426743-1427170	Cluster_21	N	180	1	3	0	132
NC_058066.1:1428122-1428836	Cluster_22	N	123	187	144	18	98
NC_058066.1:1603116-1603545	Cluster_23	N	13	44	22	373	39
NC_058066.1:1807252-1807681	Cluster_24	N	16	81	599	3	3
NC_058066.1:1811750-1812178	Cluster_25	N	30	152	22	38	29
NC_058066.1:2003870-2004431	Cluster_26	N	4	85	4	0	483
NC_058066.1:2092167-2092596	Cluster_27	N	2	125	1	2	0
NC_058066.1:2320927-2321370	Cluster_28	N	89	3418	18	960	86
NC_058066.1:2402544-2402974	Cluster_29	N	18	0	112	1	10
NC_058066.1:2483809-2484238	Cluster_30	N	100	55	40	6	38
NC_058066.1:2512174-2512600	Cluster_31	N	2	4	551	31	0
NC_058066.1:2513571-2514164	Cluster_32	N	152	375	24	94	116
NC_058066.1:2515895-2516325	Cluster_33	N	12	1	74	6	230
NC_058066.1:2516773-2517206	Cluster_34	N	202	61	13	0	451
NC_058066.1:2535481-2536210	Cluster_35	N	128	0	383	182	14
NC_058066.1:2558113-2558537	Cluster_36	N	92	51	18	0	1
NC_058066.1:2592910-2593336	Cluster_37	N	0	0	0	135	0
NC_058066.1:2599815-2600266	Cluster_38	N	331	33	38	2	56
NC_058066.1:2619723-2620514	Cluster_39	N	49	596	90	24	0
NC_058066.1:2633169-2633595	Cluster_40	N	4	116	0	8	2
