row_id	pic_chr	pic_beg	pic_end	pic_len	TEshare	CDSshare	TEbp_per_pic	CDSbp_per_pic	TEdiv_per_pic
row_1	Pocillopora_meandrina_HIv1___Sc0000000	10376955	10381586	4632	44.3436960276329	0	2054	0	34.15
row_10	Pocillopora_meandrina_HIv1___Sc0000003	14080011	14086151	6141	55.1701677251244	0	3388	0	28.4666666666667
row_11	Pocillopora_meandrina_HIv1___Sc0000003	15451019	15455992	4974	12.2637716123843	0	610	0	21.6285714285714
row_12	Pocillopora_meandrina_HIv1___Sc0000004	8677120	8684744	7625	0	0	0	0	0
row_13	Pocillopora_meandrina_HIv1___Sc0000004	13615030	13624862	9833	10.2003457744328	0	1003	0	25.3
row_14	Pocillopora_meandrina_HIv1___Sc0000006	2573320	2586773	13454	1.6946632971607	0	228	0	19.4
row_15	Pocillopora_meandrina_HIv1___Sc0000006	5858169	5869011	10843	2.8405422853454	0	308	0	16.475
row_16	Pocillopora_meandrina_HIv1___Sc0000006	6017023	6024673	7651	0.392105607110182	0	30	0	3.7
row_17	Pocillopora_meandrina_HIv1___Sc0000006	11541575	11547858	6284	59.7708465945302	0	3756	0	33.3
row_18	Pocillopora_meandrina_HIv1___Sc0000006	12417086	12431853	14768	0.440140845070423	0	65	0	9.6
row_19	Pocillopora_meandrina_HIv1___Sc0000006	12435230	12463480	28251	0.622986796927542	0	176	0	14.5333333333333
row_2	Pocillopora_meandrina_HIv1___Sc0000001	7491180	7496937	5758	3.99444251476208	0	230	0	13.6666666666667
row_20	Pocillopora_meandrina_HIv1___Sc0000006	13863217	13884785	21569	1.56242755806944	0	337	0	16.3428571428571
row_21	Pocillopora_meandrina_HIv1___Sc0000007	9522006	9527003	4998	0.500200080032013	0	25	0	9.3
row_22	Pocillopora_meandrina_HIv1___Sc0000007	12595183	12603750	8568	4.54014939309056	0	389	0	34.6
row_23	Pocillopora_meandrina_HIv1___Sc0000007	12853999	12858783	4785	78.4952978056455	0	3756	0	33.2
row_24	Pocillopora_meandrina_HIv1___Sc0000007	13093921	13099854	5934	14.8634984833166	0	882	0	30.35
row_25	Pocillopora_meandrina_HIv1___Sc0000008	2003184	2024008	20825	1.96398559423772	0	409	0	16.84
row_26	Pocillopora_meandrina_HIv1___Sc0000009	109000	114703	5704	46.2833099579258	0	2640	0	32.95
row_27	Pocillopora_meandrina_HIv1___Sc0000010	2497140	2503741	6602	9.99697061496507	0	660	0	26.5
row_28	Pocillopora_meandrina_HIv1___Sc0000012	9109071	9120594	11524	19.3422422769871	0	2229	0	26.16
row_29	Pocillopora_meandrina_HIv1___Sc0000013	1700192	1705024	4833	0	0	0	0	0
row_3	Pocillopora_meandrina_HIv1___Sc0000001	7567709	7580482	12774	3.31141380930013	0	423	0	21.7
row_30	Pocillopora_meandrina_HIv1___Sc0000013	6787577	6795010	7434	27.6298089857404	0	2054	0	34.2
row_31	Pocillopora_meandrina_HIv1___Sc0000013	7398591	7407024	8434	31.6694332463837	0	2671	0	33.4666666666667
row_32	Pocillopora_meandrina_HIv1___Sc0000013	7432001	7440266	8266	2.34696346479554	0	194	0	18.95
row_33	Pocillopora_meandrina_HIv1___Sc0000014	1761082	1766944	5863	1.62033088862357	0	95	0	23.1
row_34	Pocillopora_meandrina_HIv1___Sc0000016	1978089	1997910	19822	0.388457269700334	0	77	0	11.7
row_35	Pocillopora_meandrina_HIv1___Sc0000016	2060004	2091011	31008	3.72807017543848	0	1156	0	17.6181818181818
row_36	Pocillopora_meandrina_HIv1___Sc0000019	3826011	3853992	27982	0.943463655206924	0	264	0	18.95
row_37	Pocillopora_meandrina_HIv1___Sc0000019	5483017	5501965	18949	10.2643938994144	0	1945	0	21.15
row_38	Pocillopora_meandrina_HIv1___Sc0000020	2201000	2211474	10475	4.54415274463009	0	476	0	31.7
row_39	Pocillopora_meandrina_HIv1___Sc0000021	6212021	6231942	19922	3.85001505872899	0	767	0	25.1571428571429
row_4	Pocillopora_meandrina_HIv1___Sc0000001	10531132	10536982	5851	36.1818492565375	0	2117	0	31
row_40	Pocillopora_meandrina_HIv1___Sc0000024	2929010	2939498	10489	2.11650300314615	0	222	0	13.68
row_41	Pocillopora_meandrina_HIv1___Sc0000025	57490	62674	5185	0	0	0	0	0
row_42	Pocillopora_meandrina_HIv1___Sc0000033	3090017	3130783	40767	0.892879044325063	0	364	0	15.7
row_43	Pocillopora_meandrina_HIv1___Sc0000036	83954	91693	7740	23.9276485788121	0	1852	0	25.025
row_44	Pocillopora_meandrina_HIv1___Sc0000041	1438223	1442910	4688	0.511945392491468	0	24	0	13.9
row_45	Pocillopora_meandrina_HIv1___Sc0000042	112948	117579	4632	81.0880829015542	0	3756	0	32.3
row_46	Pocillopora_meandrina_HIv1___Sc0000043	1687373	1694015	6643	48.8785187415349	0	3247	0	27.1333333333333
row_47	Pocillopora_meandrina_HIv1___Sc0000044	1619069	1623869	4801	46.0945636325741	0	2213	0	33.5
row_5	Pocillopora_meandrina_HIv1___Sc0000001	11270024	11274696	4673	80.3766317140988	0	3756	0	33.3
row_6	Pocillopora_meandrina_HIv1___Sc0000002	3703340	3711345	8006	1.4114414189358	0	113	0	14.1
row_7	Pocillopora_meandrina_HIv1___Sc0000002	6079035	6084410	5376	37.2209821428562	0	2001	0	33.55
row_8	Pocillopora_meandrina_HIv1___Sc0000002	11007008	11012024	5017	9.54753836954355	0	479	0	25.9666666666667
row_9	Pocillopora_meandrina_HIv1___Sc0000003	11421003	11433320	12318	12.3964929371648	0	1527	0	24.7
