NC_058066.1	17726050	17734960	NC_058066.1	Gnomon	gene	17729627	17732829	.	+	.	ID=gene-LOC114967414;Dbxref=GeneID:114967414;Name=LOC114967414;gbkey=Gene;gene=LOC114967414;gene_biotype=protein_coding	3203
NC_058066.1	28445323	28452636	NC_058066.1	Gnomon	gene	28444999	28446236	.	+	.	ID=gene-LOC114972849;Dbxref=GeneID:114972849;Name=LOC114972849;gbkey=Gene;gene=LOC114972849;gene_biotype=protein_coding	913
NC_058066.1	28445323	28452636	NC_058066.1	Gnomon	gene	28446503	28451426	.	-	.	ID=gene-LOC114972848;Dbxref=GeneID:114972848;Name=LOC114972848;gbkey=Gene;gene=LOC114972848;gene_biotype=protein_coding	4924
NC_058067.1	14128407	14136847	NC_058067.1	Gnomon	gene	14118443	14130434	.	+	.	ID=gene-LOC122956872;Dbxref=GeneID:122956872;Name=LOC122956872;gbkey=Gene;gene=LOC122956872;gene_biotype=protein_coding	2027
NC_058067.1	14155111	14163931	NC_058067.1	Gnomon	gene	14157497	14159293	.	+	.	ID=gene-LOC122956629;Dbxref=GeneID:122956629;Name=LOC122956629;gbkey=Gene;gene=LOC122956629;gene_biotype=protein_coding	1797
NC_058067.1	30936178	30944991	NC_058067.1	Gnomon	gene	30942775	30943688	.	-	.	ID=gene-LOC122957249;Dbxref=GeneID:122957249;Name=LOC122957249;gbkey=Gene;gene=LOC122957249;gene_biotype=protein_coding	914
NC_058068.1	12794030	12801799	NC_058068.1	Gnomon	gene	12800433	12801910	.	+	.	ID=gene-LOC122957940;Dbxref=GeneID:122957940;Name=LOC122957940;gbkey=Gene;gene=LOC122957940;gene_biotype=protein_coding	1367
NC_058069.1	2474003	2485020	NC_058069.1	Gnomon	gene	2466391	2500565	.	+	.	ID=gene-LOC114957702;Dbxref=GeneID:114957702;Name=LOC114957702;gbkey=Gene;gene=LOC114957702;gene_biotype=protein_coding	11017
NC_058069.1	16354999	16364983	NC_058069.1	Gnomon	gene	16355553	16360640	.	-	.	ID=gene-LOC122958179;Dbxref=GeneID:122958179;Name=LOC122958179;gbkey=Gene;gene=LOC122958179;gene_biotype=protein_coding	5088
NC_058069.1	16354999	16364983	NC_058069.1	Gnomon	gene	16360651	16363799	.	+	.	ID=gene-LOC122958573;Dbxref=GeneID:122958573;Name=LOC122958573;gbkey=Gene;gene=LOC122958573;gene_biotype=protein_coding	3149
