row_id	pic_chr	pic_beg	pic_end	pic_len	TEshare	CDSshare	TEbp_per_pic	CDSbp_per_pic	TEdiv_per_pic
row_1	NC_058066.1	17726050	17734960	8911	0	24.9130288407592	0	2220	0
row_10	NC_058067.1	30797040	30806014	8975	0.668523676880224	0	60	0	17.2
row_11	NC_058067.1	30936178	30944991	8814	2.46199228500114	7.52212389380541	217	663	22.2
row_12	NC_058068.1	12406436	12413738	7303	1.30083527317541	0	95	0	23.3
row_13	NC_058068.1	12732053	12741731	9679	13.0075421014571	0	1259	0	25.8714285714286
row_14	NC_058068.1	12794030	12801799	7770	1.10682110682111	6.91119691119695	86	537	19.75
row_15	NC_058069.1	2474003	2485020	11018	0.317662007623888	0	35	0	0
row_16	NC_058069.1	16354999	16364983	9985	0	44.8673009514239	0	4480	0
row_17	NC_058069.1	25164311	25178841	14531	0.364737457848737	0	53	0	16.5
row_18	NC_058069.1	26266482	26272980	6499	0.615479304508386	0	40	0	2.6
row_19	NC_058069.1	27482014	27489024	7011	3.29482242190842	27.456853515903	231	1925	13.1333333333333
row_2	NC_058066.1	27441463	27447983	6521	3.06701426161631	0	200	0	21.5
row_20	NC_058070.1	10509018	10514531	5514	0.725426187885382	50.7072905331853	40	2796	33.4
row_21	NC_058070.1	11273013	11281932	8920	3.47533632286997	0	310	0	21.8333333333333
row_22	NC_058070.1	16058339	16063069	4731	1.52187698161065	13.7603043753962	72	651	10.4
row_23	NC_058070.1	16239005	16248013	9009	0.255300255300255	20.3241203241205	23	1831	9.3
row_24	NC_058071.1	6083060	6092024	8965	8.60011154489678	7.39542665923031	771	663	21.2
row_25	NC_058071.1	7355630	7361347	5718	0.542147604057362	57.520111927246	31	3289	8
row_26	NC_058072.1	4703127	4708796	5670	1.19929453262787	34.4973544973546	68	1956	8.45
row_27	NC_058072.1	7846739	7851740	5002	7.59696121551382	23.350659736105	380	1168	27.86
row_28	NC_058072.1	9139098	9152764	13667	5.14377698104927	12.7752981634589	703	1746	29.4666666666667
row_29	NC_058072.1	9187018	9195278	8261	4.86623895412182	0	402	0	14.36
row_3	NC_058066.1	28121256	28125982	4727	0	0	0	0	0
row_30	NC_058072.1	11393060	11403550	10491	1.11524163568773	6.06233914784103	117	636	12.7666666666667
row_31	NC_058072.1	16554113	16560801	6689	0.568096875467185	21.8866796232624	38	1464	12
row_32	NC_058072.1	16650053	16658972	8920	3.57623318385652	50.403587443941	319	4496	20.2
