Orthogroup	GCF_013753865.1_Amil_v2.1.protein	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep	Total
OG0000000	0	1	145	146
OG0000001	0	0	107	107
OG0000002	0	84	0	84
OG0000003	0	1	83	84
OG0000004	4	0	68	72
OG0000005	65	0	0	65
OG0000006	2	0	63	65
OG0000007	63	0	0	63
OG0000008	62	0	0	62
OG0000009	0	1	61	62
OG0000010	60	0	1	61
OG0000011	13	4	42	59
OG0000012	58	0	0	58
OG0000013	58	0	0	58
OG0000014	0	0	58	58
OG0000015	19	1	36	56
OG0000016	29	5	21	55
OG0000017	53	0	0	53
OG0000018	53	0	0	53
OG0000019	0	0	53	53
OG0000020	49	0	0	49
OG0000021	30	0	19	49
OG0000022	48	0	0	48
OG0000023	1	0	47	48
OG0000024	0	1	47	48
OG0000025	0	3	45	48
OG0000026	0	0	48	48
OG0000027	46	0	0	46
OG0000028	1	1	44	46
OG0000029	0	0	46	46
OG0000030	5	2	38	45
OG0000031	45	0	0	45
OG0000032	44	0	0	44
OG0000033	0	2	42	44
OG0000034	0	0	44	44
OG0000035	1	0	42	43
OG0000036	42	0	0	42
OG0000037	0	0	42	42
OG0000038	0	0	42	42
OG0000039	0	0	42	42
OG0000040	0	0	42	42
OG0000041	41	0	0	41
OG0000042	0	1	40	41
OG0000043	0	0	41	41
OG0000044	40	0	0	40
OG0000045	39	0	1	40
OG0000046	38	1	0	39
OG0000047	1	0	38	39
OG0000048	36	0	3	39
OG0000049	1	0	38	39
OG0000050	0	5	34	39
OG0000051	0	0	39	39
OG0000052	38	0	0	38
OG0000053	15	2	20	37
OG0000054	1	34	2	37
OG0000055	0	37	0	37
OG0000056	0	2	35	37
OG0000057	0	0	37	37
OG0000058	29	6	1	36
OG0000059	32	3	1	36
OG0000060	35	0	1	36
OG0000061	1	3	32	36
OG0000062	23	1	12	36
OG0000063	5	0	31	36
OG0000064	0	0	36	36
OG0000065	15	0	20	35
