Coords	Name	MIRNA	sRNA-POC-47-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-48-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-50-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-53-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-57-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
Pocillopora_meandrina_HIv1___Sc0000000:9092-9521	Cluster_1	N	1617	1381	1617	3076	3511
Pocillopora_meandrina_HIv1___Sc0000000:53578-53997	Cluster_2	N	38	83	95	80	143
Pocillopora_meandrina_HIv1___Sc0000000:150243-150718	Cluster_3	N	262	559	452	388	1003
Pocillopora_meandrina_HIv1___Sc0000000:173728-174150	Cluster_4	N	169	169	276	312	327
Pocillopora_meandrina_HIv1___Sc0000000:187562-188072	Cluster_5	N	5	14	25	59	75
Pocillopora_meandrina_HIv1___Sc0000000:485727-486254	Cluster_6	N	39	43	34	64	145
Pocillopora_meandrina_HIv1___Sc0000000:525310-527341	Cluster_7	N	3485	1260	4575	2669	2574
Pocillopora_meandrina_HIv1___Sc0000000:541262-541723	Cluster_8	N	126	72	86	307	88
Pocillopora_meandrina_HIv1___Sc0000000:551887-552690	Cluster_9	N	18	30	687	3	106
Pocillopora_meandrina_HIv1___Sc0000000:555673-556458	Cluster_10	N	180	107	99	371	99
Pocillopora_meandrina_HIv1___Sc0000000:581045-581465	Cluster_11	N	27	43	30	76	18
Pocillopora_meandrina_HIv1___Sc0000000:591361-591939	Cluster_12	N	309	76	9	164	201
Pocillopora_meandrina_HIv1___Sc0000000:616336-616751	Cluster_13	N	9	30	15	32	14
Pocillopora_meandrina_HIv1___Sc0000000:639521-640061	Cluster_14	N	91	214	264	5	6
Pocillopora_meandrina_HIv1___Sc0000000:682031-682445	Cluster_15	N	0	45	0	34	0
Pocillopora_meandrina_HIv1___Sc0000000:721030-721459	Cluster_16	N	69	76	25	447	11
Pocillopora_meandrina_HIv1___Sc0000000:721923-722470	Cluster_17	N	394	519	508	677	862
Pocillopora_meandrina_HIv1___Sc0000000:727164-727725	Cluster_18	N	124	107	125	177	347
Pocillopora_meandrina_HIv1___Sc0000000:789491-789906	Cluster_19	N	0	0	2	1	84
Pocillopora_meandrina_HIv1___Sc0000000:815897-816398	Cluster_20	N	147	291	149	397	694
Pocillopora_meandrina_HIv1___Sc0000000:818027-818120	Cluster_21	Y	4878	2503	2063	1450	1432
Pocillopora_meandrina_HIv1___Sc0000000:923725-924139	Cluster_22	N	9	43	19	188	56
Pocillopora_meandrina_HIv1___Sc0000000:987729-988269	Cluster_23	N	92	212	259	6	8
Pocillopora_meandrina_HIv1___Sc0000000:1215302-1215757	Cluster_24	N	474	311	820	593	407
Pocillopora_meandrina_HIv1___Sc0000000:1253655-1254057	Cluster_25	N	10	10	7	27	22
Pocillopora_meandrina_HIv1___Sc0000000:1276611-1277081	Cluster_26	N	157	1114	115	314	272
Pocillopora_meandrina_HIv1___Sc0000000:1336780-1337291	Cluster_27	N	422	632	445	597	732
Pocillopora_meandrina_HIv1___Sc0000000:1378697-1379231	Cluster_28	N	139	283	101	351	535
Pocillopora_meandrina_HIv1___Sc0000000:1637504-1637919	Cluster_29	N	5	21	0	26	95
Pocillopora_meandrina_HIv1___Sc0000000:1688897-1689394	Cluster_30	N	1	65	138	117	91
Pocillopora_meandrina_HIv1___Sc0000000:1750814-1751510	Cluster_31	N	78	50	50	46	13
Pocillopora_meandrina_HIv1___Sc0000000:1752745-1753173	Cluster_32	N	108	53	23	83	11
Pocillopora_meandrina_HIv1___Sc0000000:1868815-1869232	Cluster_33	N	35	86	17	59	169
Pocillopora_meandrina_HIv1___Sc0000000:2007022-2007452	Cluster_34	N	48	59	139	46	2
Pocillopora_meandrina_HIv1___Sc0000000:2063456-2063972	Cluster_35	N	1218	1175	1240	963	1411
Pocillopora_meandrina_HIv1___Sc0000000:2159721-2160378	Cluster_36	N	383	67	243	251	183
Pocillopora_meandrina_HIv1___Sc0000000:2160616-2161042	Cluster_37	N	58	4	89	69	21
Pocillopora_meandrina_HIv1___Sc0000000:2221328-2221740	Cluster_38	N	12	33	11	13	25
Pocillopora_meandrina_HIv1___Sc0000000:2312271-2312685	Cluster_39	N	13	24	5	109	56
Pocillopora_meandrina_HIv1___Sc0000000:2335702-2336115	Cluster_40	N	1	32	19	47	18
Pocillopora_meandrina_HIv1___Sc0000000:2750560-2752027	Cluster_41	N	623	328	337	283	215
Pocillopora_meandrina_HIv1___Sc0000000:2872019-2872110	Cluster_42	Y	37	40	21	39	36
Pocillopora_meandrina_HIv1___Sc0000000:2959034-2959448	Cluster_43	N	33	2	24	65	20
Pocillopora_meandrina_HIv1___Sc0000000:2959659-2960409	Cluster_44	N	387	203	339	286	215
Pocillopora_meandrina_HIv1___Sc0000000:3005892-3006331	Cluster_45	N	391	1	179	245	327
Pocillopora_meandrina_HIv1___Sc0000000:3006340-3006751	Cluster_46	N	39	1	58	42	0
Pocillopora_meandrina_HIv1___Sc0000000:3251850-3252263	Cluster_47	N	4	3	4	47	26
Pocillopora_meandrina_HIv1___Sc0000000:3308776-3309192	Cluster_48	N	11	83	12	37	117
Pocillopora_meandrina_HIv1___Sc0000000:3412071-3412488	Cluster_49	N	1	39	30	56	65
Pocillopora_meandrina_HIv1___Sc0000000:3581988-3582720	Cluster_50	N	47	43	110	113	132
Pocillopora_meandrina_HIv1___Sc0000000:3603652-3604077	Cluster_51	N	208	0	0	8	0
Pocillopora_meandrina_HIv1___Sc0000000:3628199-3628623	Cluster_52	N	0	37	0	32	8
Pocillopora_meandrina_HIv1___Sc0000000:3691324-3691932	Cluster_53	N	559	962	569	1807	4195
Pocillopora_meandrina_HIv1___Sc0000000:3821020-3821448	Cluster_54	N	19	49	13	32	98
Pocillopora_meandrina_HIv1___Sc0000000:3822514-3823003	Cluster_55	N	11	79	36	35	77
Pocillopora_meandrina_HIv1___Sc0000000:3848323-3848809	Cluster_56	N	1001	1768	1522	3005	2433
Pocillopora_meandrina_HIv1___Sc0000000:3848821-3849296	Cluster_57	N	13	43	26	64	131
Pocillopora_meandrina_HIv1___Sc0000000:3849326-3849741	Cluster_58	N	12	37	14	52	89
Pocillopora_meandrina_HIv1___Sc0000000:3908371-3908786	Cluster_59	N	2	19	13	16	70
Pocillopora_meandrina_HIv1___Sc0000000:3911700-3912114	Cluster_60	N	56	0	73	7	13
Pocillopora_meandrina_HIv1___Sc0000000:4077445-4077859	Cluster_61	N	22	12	28	17	5
Pocillopora_meandrina_HIv1___Sc0000000:4241544-4242078	Cluster_62	N	550	951	120	220	964
Pocillopora_meandrina_HIv1___Sc0000000:4422273-4423231	Cluster_63	N	291	43	178	245	209
Pocillopora_meandrina_HIv1___Sc0000000:4429481-4429904	Cluster_64	N	36	129	19	12	6
Pocillopora_meandrina_HIv1___Sc0000000:4429917-4430343	Cluster_65	N	44	89	8	3	2
Pocillopora_meandrina_HIv1___Sc0000000:4430717-4431143	Cluster_66	N	50	344	5	7	4
Pocillopora_meandrina_HIv1___Sc0000000:4431213-4432144	Cluster_67	N	299	426	98	59	131
Pocillopora_meandrina_HIv1___Sc0000000:4528180-4528608	Cluster_68	N	6	1	121	10	4
Pocillopora_meandrina_HIv1___Sc0000000:4531785-4532259	Cluster_69	N	84	174	146	354	403
Pocillopora_meandrina_HIv1___Sc0000000:4532300-4532706	Cluster_70	N	7	32	5	38	77
Pocillopora_meandrina_HIv1___Sc0000000:4534325-4534799	Cluster_71	N	435	702	517	2024	706
Pocillopora_meandrina_HIv1___Sc0000000:4561521-4561940	Cluster_72	N	3	40	30	24	61
Pocillopora_meandrina_HIv1___Sc0000000:4565453-4566337	Cluster_73	N	158	10	344	28	141
Pocillopora_meandrina_HIv1___Sc0000000:4595761-4596188	Cluster_74	N	139	38	4	21	8
Pocillopora_meandrina_HIv1___Sc0000000:4616213-4616622	Cluster_75	N	39	0	14	105	3
Pocillopora_meandrina_HIv1___Sc0000000:4754952-4755436	Cluster_76	N	8081	7660	9633	10361	4292
Pocillopora_meandrina_HIv1___Sc0000000:4905179-4905809	Cluster_77	N	2	119	90	2	44
Pocillopora_meandrina_HIv1___Sc0000000:5011888-5012317	Cluster_78	N	1	4	229	3	2
Pocillopora_meandrina_HIv1___Sc0000000:5114054-5114478	Cluster_79	N	72	35	79	15	12
Pocillopora_meandrina_HIv1___Sc0000000:5114800-5115279	Cluster_80	N	140	58	46	30	29
Pocillopora_meandrina_HIv1___Sc0000000:5115363-5116268	Cluster_81	N	1167	31	40	994	19
Pocillopora_meandrina_HIv1___Sc0000000:5116660-5117931	Cluster_82	N	457	146	200	342	68
Pocillopora_meandrina_HIv1___Sc0000000:5237977-5238405	Cluster_83	N	4	30	325	24	2
Pocillopora_meandrina_HIv1___Sc0000000:5304149-5304689	Cluster_84	N	185	206	123	355	647
Pocillopora_meandrina_HIv1___Sc0000000:5624826-5625249	Cluster_85	N	74	12	33	3	8
Pocillopora_meandrina_HIv1___Sc0000000:5724791-5725218	Cluster_86	N	97	42	38	6	1
Pocillopora_meandrina_HIv1___Sc0000000:6035690-6037539	Cluster_87	N	6140	2220	2542	4877	2119
Pocillopora_meandrina_HIv1___Sc0000000:6038529-6040213	Cluster_88	N	770	245	452	438	130
Pocillopora_meandrina_HIv1___Sc0000000:6054442-6055284	Cluster_89	N	2097	40	167	13	10
Pocillopora_meandrina_HIv1___Sc0000000:6072268-6072713	Cluster_90	N	1326	895	3255	899	3380
Pocillopora_meandrina_HIv1___Sc0000000:6175141-6175560	Cluster_91	N	2	0	0	0	1043
Pocillopora_meandrina_HIv1___Sc0000000:6176478-6176897	Cluster_92	N	0	0	0	106	0
Pocillopora_meandrina_HIv1___Sc0000000:6300017-6300437	Cluster_93	N	120	94	24	0	40
Pocillopora_meandrina_HIv1___Sc0000000:6432068-6432496	Cluster_94	N	803	88	215	2	12
Pocillopora_meandrina_HIv1___Sc0000000:6432523-6433169	Cluster_95	N	341	16	16	236	149
Pocillopora_meandrina_HIv1___Sc0000000:6523200-6523620	Cluster_96	N	0	49	32	0	1
Pocillopora_meandrina_HIv1___Sc0000000:6579795-6580209	Cluster_97	N	5	33	5	40	0
Pocillopora_meandrina_HIv1___Sc0000000:6650162-6650578	Cluster_98	N	11	25	80	11	78
Pocillopora_meandrina_HIv1___Sc0000000:6755647-6756061	Cluster_99	N	1	3	1	24	73
Pocillopora_meandrina_HIv1___Sc0000000:6781587-6782077	Cluster_100	N	27	189	56	115	169
Pocillopora_meandrina_HIv1___Sc0000000:6784342-6785024	Cluster_101	N	150	406	223	419	516
Pocillopora_meandrina_HIv1___Sc0000000:6785838-6786298	Cluster_102	N	24	123	29	77	85
