"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","m_chrom","m_source","m_type","m_start","m_end","m_strand","m_attr","gf_chrom","gf_source","gf_type","gf_start","gf_end","gf_strand","gf_attr","overlap","prop.sig.genes"
"1","LOC114953222","GO:0043113","receptor clustering",34,1,0.06,0.02983,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",15996879,15996901,"-","ID=Cluster_7025.mature;Parent=Cluster_7025","NC_058073.1","Gnomon","mRNA",15973866,15994752,"+","ID=rna-XM_029329418.2;Parent=gene-LOC114953222;Dbxref=GeneID:114953222,Genbank:XM_029329418.2;Name=XM_029329418.2;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon;exception=unclassified transcription discrepancy;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953222;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C 15 Proteins%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 93 samples with support for all annotated introns;product=disks large homolog 1-like;transcript_id=XM_029329418.2",-2127,0.0294117647058824
"2","LOC114953222","GO:0045197","establishment or maintenance of epithelial cell api...",47,1,0.08,0.04101,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",15996879,15996901,"-","ID=Cluster_7025.mature;Parent=Cluster_7025","NC_058073.1","Gnomon","mRNA",15973866,15994752,"+","ID=rna-XM_029329418.2;Parent=gene-LOC114953222;Dbxref=GeneID:114953222,Genbank:XM_029329418.2;Name=XM_029329418.2;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon;exception=unclassified transcription discrepancy;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953222;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C 15 Proteins%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 93 samples with support for all annotated introns;product=disks large homolog 1-like;transcript_id=XM_029329418.2",-2127,0.0212765957446809
"3","LOC114953222","GO:0097120","receptor localization to synapse",51,1,0.09,0.04442,"Biological Processes","NC_058073.1","ShortStack","mature_miRNA",15996879,15996901,"-","ID=Cluster_7025.mature;Parent=Cluster_7025","NC_058073.1","Gnomon","mRNA",15973866,15994752,"+","ID=rna-XM_029329418.2;Parent=gene-LOC114953222;Dbxref=GeneID:114953222,Genbank:XM_029329418.2;Name=XM_029329418.2;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: deleted 1 base in 1 codon;exception=unclassified transcription discrepancy;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953222;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C 15 Proteins%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 93 samples with support for all annotated introns;product=disks large homolog 1-like;transcript_id=XM_029329418.2",-2127,0.0196078431372549
"4","LOC114953318","GO:0002121","inter-male aggressive behavior",20,1,0.04,0.01765,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.05
"5","LOC114953318","GO:0007217","tachykinin receptor signaling pathway",36,1,0.06,0.03156,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.0277777777777778
"6","LOC114953318","GO:0002121","inter-male aggressive behavior",20,1,0.04,0.01765,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.05
"7","LOC114953318","GO:0007217","tachykinin receptor signaling pathway",36,1,0.06,0.03156,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.0277777777777778
"8","LOC114953318","GO:0002121","inter-male aggressive behavior",20,1,0.04,0.01765,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.05
"9","LOC114953318","GO:0007217","tachykinin receptor signaling pathway",36,1,0.06,0.03156,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.0277777777777778
"10","LOC114953318","GO:0002121","inter-male aggressive behavior",20,1,0.04,0.01765,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.05
"11","LOC114953318","GO:0007217","tachykinin receptor signaling pathway",36,1,0.06,0.03156,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.0277777777777778
"12","LOC114953318","GO:0002121","inter-male aggressive behavior",20,1,0.04,0.01765,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.05
"13","LOC114953318","GO:0007217","tachykinin receptor signaling pathway",36,1,0.06,0.03156,"Biological Processes","NC_058075.1","ShortStack","mature_miRNA",15908523,15908544,"+","ID=Cluster_8475.mature;Parent=Cluster_8475","NC_058075.1","Gnomon","mRNA",15909001,15929810,"-","ID=rna-XM_029329537.2;Parent=gene-LOC114953318;Dbxref=GeneID:114953318,Genbank:XM_029329537.2;Name=XM_029329537.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114953318;model_evidence=Supporting evidence includes similarity to: 16 mRNAs%2C 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=substance-P receptor-like%2C transcript variant X1;transcript_id=XM_029329537.2",-457,0.0277777777777778
