readfile	mapping_type	read_length	count
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	<21	277594
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	21	114039
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	22	328190
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	23	133243
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	24	46521
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	U	>24	1242894
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	<21	470134
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	21	101978
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	22	111996
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/F-Pmea/output/13.2-Pmea-sRNAseq-ShortStack-31bp-fastp-merged/ShortStack_out/sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged.bam	P	23	92835
