Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged
Pocillopora_meandrina_HIv1___Sc0000000:9092-9521	Cluster_1	N	1659	1291	1537	3018	3328
Pocillopora_meandrina_HIv1___Sc0000000:53578-53997	Cluster_2	N	24	51	67	53	91
Pocillopora_meandrina_HIv1___Sc0000000:150243-150718	Cluster_3	N	244	526	433	397	949
Pocillopora_meandrina_HIv1___Sc0000000:173728-174150	Cluster_4	N	166	167	273	318	333
Pocillopora_meandrina_HIv1___Sc0000000:187562-188076	Cluster_5	N	4	20	25	65	73
Pocillopora_meandrina_HIv1___Sc0000000:485730-486254	Cluster_6	N	35	37	33	58	123
Pocillopora_meandrina_HIv1___Sc0000000:496020-496432	Cluster_7	N	20	7	8	26	11
Pocillopora_meandrina_HIv1___Sc0000000:525310-527342	Cluster_8	N	3583	1228	4575	2756	2552
Pocillopora_meandrina_HIv1___Sc0000000:541262-541723	Cluster_9	N	121	93	97	312	103
Pocillopora_meandrina_HIv1___Sc0000000:551887-552690	Cluster_10	N	21	40	682	3	106
Pocillopora_meandrina_HIv1___Sc0000000:555672-556458	Cluster_11	N	190	96	91	389	92
Pocillopora_meandrina_HIv1___Sc0000000:580919-581465	Cluster_12	N	20	51	37	86	20
Pocillopora_meandrina_HIv1___Sc0000000:591376-591939	Cluster_13	N	215	83	10	152	182
Pocillopora_meandrina_HIv1___Sc0000000:639521-640061	Cluster_14	N	104	206	242	3	11
Pocillopora_meandrina_HIv1___Sc0000000:659874-660274	Cluster_15	N	39	15	26	9	5
Pocillopora_meandrina_HIv1___Sc0000000:721030-721459	Cluster_16	N	70	75	25	451	11
Pocillopora_meandrina_HIv1___Sc0000000:721923-722470	Cluster_17	N	406	512	509	682	821
Pocillopora_meandrina_HIv1___Sc0000000:727164-727725	Cluster_18	N	131	105	121	167	318
Pocillopora_meandrina_HIv1___Sc0000000:815898-816398	Cluster_19	N	119	272	128	362	559
Pocillopora_meandrina_HIv1___Sc0000000:818027-818120	Cluster_20	Y	4846	2433	1968	1452	1397
