"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","m_chrom","m_source","m_type","m_start","m_end","m_strand","m_attr","gf_chrom","gf_source","gf_type","gf_start","gf_end","gf_strand","gf_attr","overlap","prop.sig.genes"
"1","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0000122","negative regulation of transcription by RNA polymer...",433,2,0.72,0.00106,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0046189376443418
"2","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0001756","somitogenesis",53,1,0.09,0.00582,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0188679245283019
"3","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0001974","blood vessel remodeling",27,1,0.04,0.00297,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.037037037037037
"4","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0002437","inflammatory response to antigenic stimulus",20,1,0.03,0.0022,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.05
"5","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003129","heart induction",9,1,0.01,0.00099,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.111111111111111
"6","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003139","secondary heart field specification",5,1,0.01,0.00055,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.2
"7","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003151","outflow tract morphogenesis",64,1,0.11,0.00702,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.015625
"8","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003160","endocardium morphogenesis",5,1,0.01,0.00055,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.2
"9","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003176","aortic valve development",30,1,0.05,0.0033,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0333333333333333
"10","Pocillopora_meandrina_HIv1___RNAseq.g10955.t1","GO:0003177","pulmonary valve development",24,1,0.04,0.00264,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000021","ShortStack","mature_miRNA",4351839,4351860,"+","ID=Cluster_5275.mature;Parent=Cluster_5275","Pocillopora_meandrina_HIv1___Sc0000021","AUGUSTUS","transcript",4346969,4358531,"+","ID=Pocillopora_meandrina_HIv1___RNAseq.g10955.t1",21,0.0416666666666667
