"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","prop.sig.genes"
"1","LOC114951564","GO:0006355","regulation of DNA-templated transcription",2068,7,2.59,0.00707,"Biological Processes","NC_058066.1",27441463,27447983,"NC_058066.1","mRNA",27462364,27464454,"ID=rna-XM_029327730.2;Parent=gene-LOC114951564;Dbxref=GeneID:114951564,Genbank:XM_029327730.2;Name=XM_029327730.2;gbkey=mRNA;gene=LOC114951564;model_evidence=Supporting evidence includes similarity to: 3 Proteins;product=zinc finger protein 862-like;transcript_id=XM_029327730.2",-14381,0.00338491295938104
"2","LOC114957702","GO:0045050","protein insertion into ER membrane by stop-transfer...",8,1,0.01,0.00902,"Biological Processes","NC_058069.1",2474003,2485020,"NC_058069.1","mRNA",2466391,2500565,"ID=rna-XM_029335202.2;Parent=gene-LOC114957702;Dbxref=GeneID:114957702,Genbank:XM_029335202.2;Name=XM_029335202.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114957702;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 8 ESTs%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 49 samples with support for all annotated introns;product=ER membrane protein complex subunit 8-like;transcript_id=XM_029335202.2",11017,0.125
"3","LOC114957702","GO:0071816","tail-anchored membrane protein insertion into ER me...",17,1,0.02,0.01908,"Biological Processes","NC_058069.1",2474003,2485020,"NC_058069.1","mRNA",2466391,2500565,"ID=rna-XM_029335202.2;Parent=gene-LOC114957702;Dbxref=GeneID:114957702,Genbank:XM_029335202.2;Name=XM_029335202.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114957702;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 8 ESTs%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 49 samples with support for all annotated introns;product=ER membrane protein complex subunit 8-like;transcript_id=XM_029335202.2",11017,0.0588235294117647
"4","LOC114959002","GO:0000002","mitochondrial genome maintenance",56,3,0.07,0.00056,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0535714285714286
"5","LOC114959002","GO:0000723","telomere maintenance",201,5,0.25,8e-06,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0248756218905473
"6","LOC114959002","GO:0006260","DNA replication",420,7,0.53,0.00437,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0166666666666667
"7","LOC114959002","GO:0006310","DNA recombination",866,9,1.09,0.00013,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0103926096997691
"8","LOC114959002","GO:0032508","DNA duplex unwinding",206,7,0.26,1.4e-06,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0339805825242718
"9","LOC114959002","GO:0043504","mitochondrial DNA repair",9,1,0.01,0.01015,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.111111111111111
"10","LOC114959002","GO:0044806","G-quadruplex DNA unwinding",86,4,0.11,2.6e-06,"Biological Processes","NW_025322622.1",1181105,1188921,"NW_025322622.1","mRNA",1187591,1188238,"ID=rna-XM_029336885.2;Parent=gene-LOC114959002;Dbxref=GeneID:114959002,Genbank:XM_029336885.2;Name=XM_029336885.2;gbkey=mRNA;gene=LOC114959002;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 60%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase pfh1-like;transcript_id=XM_029336885.2",647,0.0465116279069767
