"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","m_chrom","m_source","m_type","m_start","m_end","m_strand","m_attr","gf_chrom","gf_source","gf_type","gf_start","gf_end","gf_strand","gf_attr","overlap","prop.sig.genes"
"1","Peve_00000077","GO:0006887","exocytosis",343,1,0.4,0.03234,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.00291545189504373
"2","Peve_00000077","GO:0032956","regulation of actin cytoskeleton organization",230,1,0.27,0.0218,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.00434782608695652
"3","Peve_00000077","GO:0035021","negative regulation of Rac protein signal transduct...",5,1,0.01,0.00048,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.2
"4","Peve_00000077","GO:0043087","regulation of GTPase activity",101,1,0.12,0.00963,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.0099009900990099
"5","Peve_00000077","GO:0050804","modulation of chemical synaptic transmission",808,2,0.94,0.00275,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.00247524752475248
"6","Peve_00000077","GO:0051490","negative regulation of filopodium assembly",4,1,0,0.00038,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.25
"7","Peve_00000077","GO:0061001","regulation of dendritic spine morphogenesis",44,1,0.05,0.00421,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.0227272727272727
"8","Peve_00000077","GO:0098886","modification of dendritic spine",1,1,0,9.6e-05,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,1
"9","Peve_00000077","GO:0099152","regulation of neurotransmitter receptor transport, ...",3,1,0,0.00029,"Biological Processes","Porites_evermani_scaffold_1","ShortStack","mature_miRNA",1404272,1404293,"-","ID=Cluster_29.mature;Parent=Cluster_29","Porites_evermani_scaffold_1","Gmove","mRNA",1380413,1416448,"-","ID=Peve_00000077;Name=Peve_00000077;start=1;stop=1;cds_size=1851",21,0.333333333333333
"10","Peve_00002249","GO:0000209","protein polyubiquitination",743,2,0.87,0.00233,"Biological Processes","Porites_evermani_scaffold_1128","ShortStack","mature_miRNA",125548,125568,"-","ID=Cluster_9915.mature;Parent=Cluster_9915","Porites_evermani_scaffold_1128","Gmove","mRNA",109237,127279,"-","ID=Peve_00002249;Name=Peve_00002249;start=1;stop=1;cds_size=1119",20,0.00269179004037685
