Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-145-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-150-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-173-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-178-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
NC_058066.1:152483-152910	Cluster_1	N	2	131	1	4	4
NC_058066.1:161064-161674	Cluster_2	N	51	46	202	38	180
NC_058066.1:172073-172496	Cluster_3	N	23	37	0	38	5
NC_058066.1:203241-203651	Cluster_4	N	13	31	8	16	39
NC_058066.1:204533-205150	Cluster_5	N	3	230	19	15	59
NC_058066.1:205742-206966	Cluster_6	N	972	422	85	234	228
NC_058066.1:210841-211344	Cluster_7	N	293	200	81	2	660
NC_058066.1:349655-351297	Cluster_8	N	497	1238	854	788	25
NC_058066.1:351491-353439	Cluster_9	N	3202	2033	1482	2084	186
NC_058066.1:368012-368427	Cluster_10	N	0	0	110	0	76
NC_058066.1:598651-599069	Cluster_11	N	50	424	86	188	120
NC_058066.1:681247-681662	Cluster_12	N	0	0	0	4	171
NC_058066.1:776275-776779	Cluster_13	N	0	275	6	42	175
NC_058066.1:1120025-1120456	Cluster_14	N	0	4	0	1	327
NC_058066.1:1153376-1153804	Cluster_15	N	174	79	77	0	39
NC_058066.1:1154203-1154634	Cluster_16	N	256	23	129	0	93
NC_058066.1:1176401-1176821	Cluster_17	N	15	7	23	6	81
NC_058066.1:1208776-1209194	Cluster_18	N	0	3	22	120	0
NC_058066.1:1372702-1373125	Cluster_19	N	20	37	31	22	28
NC_058066.1:1423468-1423907	Cluster_20	N	12	30	199	122	2
NC_058066.1:1424553-1424985	Cluster_21	N	3	46	473	43	1
NC_058066.1:1426743-1427170	Cluster_22	N	130	2	2	0	127
NC_058066.1:1428122-1428836	Cluster_23	N	122	189	137	15	72
NC_058066.1:1478217-1478631	Cluster_24	N	4	48	41	8	0
NC_058066.1:1502916-1503333	Cluster_25	N	9	31	53	18	18
NC_058066.1:1603116-1603545	Cluster_26	N	10	52	24	372	34
NC_058066.1:1807252-1807681	Cluster_27	N	15	84	587	3	4
NC_058066.1:1811750-1812178	Cluster_28	N	27	133	28	34	30
NC_058066.1:2003870-2004431	Cluster_29	N	14	82	5	0	471
NC_058066.1:2092167-2092596	Cluster_30	N	1	156	0	1	2
NC_058066.1:2320927-2321370	Cluster_31	N	92	3417	109	967	92
NC_058066.1:2402544-2402974	Cluster_32	N	13	0	124	3	10
NC_058066.1:2483809-2484238	Cluster_33	N	98	58	43	7	41
NC_058066.1:2512176-2512600	Cluster_34	N	1	3	539	22	2
NC_058066.1:2513557-2514164	Cluster_35	N	139	385	30	85	125
NC_058066.1:2515895-2516327	Cluster_36	N	11	1	64	2	222
NC_058066.1:2516773-2517206	Cluster_37	N	205	43	11	0	444
NC_058066.1:2535481-2536210	Cluster_38	N	136	1	368	192	8
NC_058066.1:2558113-2558538	Cluster_39	N	95	58	16	0	1
NC_058066.1:2592910-2593336	Cluster_40	N	0	0	208	138	0
NC_058066.1:2599812-2600267	Cluster_41	N	366	35	40	3	60
NC_058066.1:2619723-2620514	Cluster_42	N	101	588	85	18	3
NC_058066.1:2642401-2642965	Cluster_43	N	4	1	170	2	0
NC_058066.1:2700192-2700941	Cluster_44	N	176	34	1451	72	90
NC_058066.1:2704452-2705234	Cluster_45	N	99	1	307	515	281
NC_058066.1:2712584-2713182	Cluster_46	N	141	20	107	25	13
NC_058066.1:2754739-2755166	Cluster_47	N	1	68	23	13	52
NC_058066.1:2763730-2764250	Cluster_48	N	358	4	824	3127	2252
NC_058066.1:2867902-2868316	Cluster_49	N	0	51	152	3	2
NC_058066.1:2909446-2909873	Cluster_50	N	44	42	14	13	4
NC_058066.1:3070638-3071054	Cluster_51	N	6	18	19	63	20
NC_058066.1:3093735-3094686	Cluster_52	N	243	62	2873	1980	554
NC_058066.1:3095872-3096301	Cluster_53	N	0	52	10	15	81
NC_058066.1:3194972-3195595	Cluster_54	N	50	28	4	245	16
NC_058066.1:3211850-3212419	Cluster_55	N	51	66	31	104	158
NC_058066.1:3220567-3220984	Cluster_56	N	99	166	44	99	2
NC_058066.1:3415293-3415723	Cluster_57	N	0	5	310	2	5
NC_058066.1:3462369-3462790	Cluster_58	N	21	0	2	0	68
NC_058066.1:3538069-3538486	Cluster_59	N	20	22	45	30	4
NC_058066.1:3540154-3540712	Cluster_60	N	50	11	24	336	86
NC_058066.1:3661682-3662098	Cluster_61	N	3	20	35	52	12
NC_058066.1:3743341-3743765	Cluster_62	N	0	57	24	27	0
NC_058066.1:3829803-3830231	Cluster_63	N	36	42	10	28	1
NC_058066.1:3839434-3839860	Cluster_64	N	42	36	26	35	17
NC_058066.1:3840726-3841156	Cluster_65	N	175	291	36	71	20
NC_058066.1:3841258-3841671	Cluster_66	N	122	34	22	14	4
NC_058066.1:3843560-3844638	Cluster_67	N	70	1358	85	1015	36
NC_058066.1:3844768-3845621	Cluster_68	N	21	528	12	311	12
NC_058066.1:3845637-3846046	Cluster_69	N	4	91	9	113	3
NC_058066.1:3848303-3849110	Cluster_70	N	11	974	68	414	10
NC_058066.1:3849568-3849991	Cluster_71	N	142	92	22	24	17
NC_058066.1:3851018-3851455	Cluster_72	N	86	100	141	36	15
NC_058066.1:3857089-3857518	Cluster_73	N	63	2	7	162	52
NC_058066.1:3878533-3879316	Cluster_74	N	2823	283	140	334	2860
NC_058066.1:3880315-3880735	Cluster_75	N	42	26	51	30	12
NC_058066.1:3887019-3887473	Cluster_76	N	135	84	192	120	73
NC_058066.1:3898329-3898757	Cluster_77	N	3	204	1	2	45
NC_058066.1:3915359-3915799	Cluster_78	N	0	0	5	349	0
NC_058066.1:3920681-3921108	Cluster_79	N	90	15	11	292	1
NC_058066.1:3951158-3951602	Cluster_80	N	99	244	108	747	200
NC_058066.1:4066616-4067187	Cluster_81	N	755	468	586	118	37
NC_058066.1:4069713-4070143	Cluster_82	N	180	66	88	47	32
NC_058066.1:4072639-4073183	Cluster_83	N	777	97	123	64	35
NC_058066.1:4073323-4073752	Cluster_84	N	28	64	248	120	17
NC_058066.1:4078283-4079207	Cluster_85	N	325	217	333	188	109
NC_058066.1:4079326-4079754	Cluster_86	N	140	93	135	69	58
NC_058066.1:4083305-4084017	Cluster_87	N	117	64	157	200	58
NC_058066.1:4084153-4085370	Cluster_88	N	531	1326	547	181	12034
NC_058066.1:4085813-4086243	Cluster_89	N	36	31	35	30	62
NC_058066.1:4086995-4087596	Cluster_90	N	634	440	165	681	291
NC_058066.1:4088251-4089801	Cluster_91	N	1798	1473	309	1937	1009
NC_058066.1:4089888-4090444	Cluster_92	N	219	290	53	264	379
NC_058066.1:4090623-4091323	Cluster_93	N	564	482	48	865	1365
NC_058066.1:4091492-4092049	Cluster_94	N	283	228	27	948	153
NC_058066.1:4092110-4093836	Cluster_95	N	1358	659	5087	2070	378
NC_058066.1:4094002-4094506	Cluster_96	N	169	73	179	103	36
NC_058066.1:4094652-4095656	Cluster_97	N	240	252	467	296	202
NC_058066.1:4098720-4099136	Cluster_98	N	47	25	105	23	6
NC_058066.1:4099196-4099609	Cluster_99	N	39	51	73	29	2
NC_058066.1:4105151-4105932	Cluster_100	N	415	140	350	272	111
NC_058066.1:4106066-4106527	Cluster_101	N	69	144	62	38	23
NC_058066.1:4106614-4108157	Cluster_102	N	281	5183	343	176	192
NC_058066.1:4116592-4117345	Cluster_103	N	1478	886	797	658	1173
NC_058066.1:4118026-4118892	Cluster_104	N	82	129	4825	872	58
NC_058066.1:4118903-4119324	Cluster_105	N	31	35	87	23	17
NC_058066.1:4120171-4120600	Cluster_106	N	29	28	64	26	12
NC_058066.1:4124209-4124609	Cluster_107	N	53	60	105	43	22
NC_058066.1:4125312-4126251	Cluster_108	N	17150	3590	10739	15402	12
NC_058066.1:4126549-4127551	Cluster_109	N	71	29	162	64	57
NC_058066.1:4129377-4129914	Cluster_110	N	279	183	108	31	1
NC_058066.1:4131152-4131581	Cluster_111	N	83	80	36	111	403
NC_058066.1:4133051-4133478	Cluster_112	N	19	39	16	87	7
NC_058066.1:4137721-4138263	Cluster_113	N	131	34	135	121	32
NC_058066.1:4138521-4139196	Cluster_114	N	219	172	238	83	80
NC_058066.1:4140204-4142764	Cluster_115	N	1215	1255	3854	1313	5733
NC_058066.1:4143154-4143584	Cluster_116	N	7	1	11	180	137
NC_058066.1:4145938-4146359	Cluster_117	N	34	71	30	13	34
NC_058066.1:4150930-4151357	Cluster_118	N	26	17	60	49	25
NC_058066.1:4154886-4155313	Cluster_119	N	33	13	103	49	39
NC_058066.1:4168339-4168766	Cluster_120	N	93	148	512	306	113
NC_058066.1:4171280-4172604	Cluster_121	N	47	3165	261	929	2221
NC_058066.1:4175545-4175968	Cluster_122	N	1	5	78	31	84
NC_058066.1:4176540-4177402	Cluster_123	N	13	61	345	1969	139
NC_058066.1:4180297-4180724	Cluster_124	N	1	1	0	0	189
NC_058066.1:4181262-4181752	Cluster_125	N	118	75	181	196	127
NC_058066.1:4195868-4196284	Cluster_126	N	6	41	46	16	45
NC_058066.1:4198382-4199175	Cluster_127	N	9296	1510	144	1415	3242
NC_058066.1:4230809-4231506	Cluster_128	N	686	2760	2273	922	3209
NC_058066.1:4233187-4233944	Cluster_129	N	663	159	1036	22	171
NC_058066.1:4235767-4236469	Cluster_130	N	109	210	91	57	64
NC_058066.1:4237239-4237668	Cluster_131	N	64	53	80	78	38
NC_058066.1:4244765-4245294	Cluster_132	N	108	178	73	65	48
NC_058066.1:4250873-4251300	Cluster_133	N	151	131	14	0	1
NC_058066.1:4258796-4259225	Cluster_134	N	60	35	28	16	12
NC_058066.1:4270389-4271093	Cluster_135	N	466	376	23	196	8
NC_058066.1:4272191-4272615	Cluster_136	N	23	29	18	35	27
NC_058066.1:4287962-4288570	Cluster_137	N	48	365	66	73	17
NC_058066.1:4297880-4298296	Cluster_138	N	31	3	18	62	105
NC_058066.1:4300515-4300940	Cluster_139	N	23	2	0	0	99
NC_058066.1:4332131-4332560	Cluster_140	N	208	4	5	1	13
NC_058066.1:4337103-4338168	Cluster_141	N	5214	6950	1477	593	1776
NC_058066.1:4347619-4348048	Cluster_142	N	17	19	25	99	55
NC_058066.1:4354672-4355099	Cluster_143	N	262	32	1	0	136
NC_058066.1:4370016-4370445	Cluster_144	N	36	107	2	0	127
